Transcription Units from All genes of E. coli K-12 substr. MG1655	Matches	Sequence - coordinates of DNA region	Sequence - length of region	Direction
prs	prs	[prs 1,260,928 &larr; 1,261,875]	948	-
psd-mscM	mscM // psd	[psd-mscM 4,386,047 &larr; 4,390,360]	4314	-
psiE	psiE	[psiE 4,240,325 &rarr; 4,240,735]	411	+
psiF	psiF	[psiF 403,281 &rarr; 403,601]	321	+
pspABCDE	pspD // pspA // pspC // pspB // pspE	[pspABCDE 1,368,079 &rarr; 1,370,003]	1925	+
pspBCDE	pspD // pspC // pspB // pspE	[pspBCDE 1,368,801 &rarr; 1,370,003]	1203	+
pspE	pspE	[pspE 1,369,689 &rarr; 1,370,003]	315	+
pspF	pspF	[pspF 1,366,935 &larr; 1,367,912]	978	-
pspF	pspF	[pspF 1,366,935 &larr; 1,367,912]	978	-
pspF	pspF	[pspF 1,366,935 &larr; 1,367,912]	978	-
pspG	pspG	[pspG 4,262,840 &rarr; 4,263,082]	243	+
pssA	pssA	[pssA 2,722,727 &rarr; 2,724,082]	1356	+
pstB-phoU	pstB // phoU	[pstB-phoU 3,906,853 &larr; 3,908,366]	1514	-
pstB-phoU	pstB // phoU	[pstB-phoU 3,906,853 &larr; 3,908,366]	1514	-
pstCAB-phoU	pstC // pstB // phoU // pstA	[pstCAB-phoU 3,906,853 &larr; 3,910,398]	3546	-
pstS	pstS	[pstS 3,910,485 &larr; 3,911,525]	1041	-
pstSCA	pstC // pstA // pstS	[pstSCA 3,908,549 &larr; 3,911,525]	2977	-
pstSCAB-phoU	pstC // pstB // phoU // pstA // pstS	[pstSCAB-phoU 3,906,853 &larr; 3,911,525]	4673	-
psuK // psuG	psuK // psuG	[TU0-13546 2,257,429 &larr; 2,259,296]	1868	-
psuT	psuT	[TU0-13545 2,256,085 &larr; 2,257,335]	1251	-
pta	pta	[pta 2,414,747 &rarr; 2,416,891]	2145	+
pth-ychF	pth // ychF	[pth-ychF 1,256,721 &larr; 1,258,513]	1793	-
ptrA	ptrA	[ptrA 2,955,996 &larr; 2,958,884]	2889	-
ptrA-recBD	recB // recD // ptrA	[ptrA-recBD 2,950,635 &larr; 2,958,884]	8250	-
ptrB	ptrB	[ptrB 1,926,779 &larr; 1,928,839]	2061	-
ptsA // fsaB // gldA	gldA // ptsA // fsaB	[TU0-14091 4,137,932 &larr; 4,142,221]	4290	-
ptsG	ptsG	[ptsG 1,157,869 &rarr; 1,159,302]	1434	+
ptsG	ptsG	[ptsG 1,157,869 &rarr; 1,159,302]	1434	+
ptsHI-crr	ptsI // crr // ptsH	[ptsHI-crr 2,533,764 &rarr; 2,536,343]	2580	+
ptsHI-crr	ptsI // crr // ptsH	[ptsHI-crr 2,533,764 &rarr; 2,536,343]	2580	+
ptsHI-crr	ptsI // crr // ptsH	[ptsHI-crr 2,533,764 &rarr; 2,536,343]	2580	+
ptsHI-crr	ptsI // crr // ptsH	[ptsHI-crr 2,533,764 &rarr; 2,536,343]	2580	+
ptsHI-crr	ptsI // crr // ptsH	[ptsHI-crr 2,533,764 &rarr; 2,536,343]	2580	+
purA	purA	[purA 4,404,687 &rarr; 4,405,985]	1299	+
purC	purC	[purC 2,596,905 &larr; 2,597,618]	714	-
purEK	purE // purK	[purEK 551,527 &larr; 553,100]	1574	-
purHD	purD // purH	[purHD 4,204,642 &larr; 4,207,532]	2891	-
purL	purL	[purL 2,691,656 &larr; 2,695,543]	3888	-
purMN	purN // purM	[purMN 2,621,197 &rarr; 2,622,872]	1676	+
purR	purR	[purR 1,737,844 &rarr; 1,738,869]	1026	+
purT	purT	[purT 1,930,881 &rarr; 1,932,059]	1179	+
purU	purU	[TU0-41712 1,287,782 &larr; 1,288,624]	843	-
purU	purU	[TU0-13182 1,287,782 &larr; 1,288,624]	843	-
purU	purU	[TU0-41711 1,287,782 &larr; 1,288,624]	843	-
putA	putA	[putA 1,074,920 &larr; 1,078,882]	3963	-
putP	putP	[putP 1,079,305 &rarr; 1,080,813]	1509	+
putP	putP	[putP 1,079,305 &rarr; 1,080,813]	1509	+
putP	putP	[putP 1,079,305 &rarr; 1,080,813]	1509	+
putP	putP	[putP 1,079,305 &rarr; 1,080,813]	1509	+
putP	putP	[putP 1,079,305 &rarr; 1,080,813]	1509	+
puuAP	puuA // puuP // ymjE	[puuAP 1,357,802 &larr; 1,360,908]	3107	-
puuCBE	puuC // puuE // puuB	[puuCBE 1,362,743 &rarr; 1,366,815]	4073	+
puuDRCBE	puuR // puuC // puuE // puuB // puuD	[puuDRCBE 1,361,120 &rarr; 1,366,815]	5696	+
puuP	puuP // ymjE	[puuP 1,357,802 &larr; 1,359,341]	1540	-
pykA	pykA	[pykA 1,937,649 &rarr; 1,939,091]	1443	+
pykA	pykA	[pykA 1,937,649 &rarr; 1,939,091]	1443	+
pykF	pykF	[pykF 1,755,698 &rarr; 1,757,110]	1413	+
pykF	pykF	[pykF 1,755,698 &rarr; 1,757,110]	1413	+
pykF	pykF	[pykF 1,755,698 &rarr; 1,757,110]	1413	+
pykF	pykF	[pykF 1,755,698 &rarr; 1,757,110]	1413	+
pyrC	pyrC	[pyrC 1,121,561 &larr; 1,122,607]	1047	-
pyrD	pyrD	[pyrD 1,004,768 &rarr; 1,005,778]	1011	+
pyrF-yciH	yciH // pyrF	[pyrF-yciH 1,341,921 &rarr; 1,342,984]	1064	+
pyrG-eno	eno // pyrG	[pyrG-eno 2,906,643 &larr; 2,909,666]	3024	-
pyrG-eno	eno // pyrG	[pyrG-eno 2,906,643 &larr; 2,909,666]	3024	-
pyrG-eno	eno // pyrG	[pyrG-eno 2,906,643 &larr; 2,909,666]	3024	-
pyrH	pyrH	[pyrH 191,855 &rarr; 192,580]	726	+
pyrLBI	pyrL // pyrI // pyrB	[pyrLBI 4,470,986 &larr; 4,472,533]	1548	-
pyrLBI	pyrL // pyrI // pyrB	[pyrLBI 4,470,986 &larr; 4,472,533]	1548	-
ypdC // pyrR // pyrS	pyrR // ypdC // pyrS	[TU0-13613 2,498,671 &rarr; 2,501,987]	3317	+
qmcA-ybbJ	qmcA // ybbJ	[qmcA-ybbJ 514,401 &larr; 515,773]	1373	-
qorA	qorA	[qorA 4,263,248 &larr; 4,264,231]	984	-
qorB	qorB	[TU0-14161 4,433,164 &larr; 4,434,024]	861	-
qseBC	qseB // qseC	[qseBC 3,169,828 &rarr; 3,171,833]	2006	+
qseBC	qseB // qseC	[qseBC 3,169,828 &rarr; 3,171,833]	2006	+
queA	queA	[queA 425,011 &rarr; 426,081]	1071	+
queC	queC	[TU0-12933 464,852 &larr; 465,547]	696	-
queD	queD	[TU0-13727 2,892,214 &rarr; 2,892,579]	366	+
queE	queE	[queE 2,904,747 &larr; 2,905,418]	672	-
queF	queF	[queF 2,925,348 &rarr; 2,926,196]	849	+
queG	queG	[queG 4,392,928 &larr; 4,394,067]	1140	-
racC	racC	[TU0-13227 1,417,488 &larr; 1,417,763]	276	-
racR	racR	[TU0-13230 1,419,765 &larr; 1,420,241]	477	-
nadR // radA	radA // nadR	[TU0-14225 4,625,912 &rarr; 4,628,547]	2636	+
radD	radD	[radD 2,280,632 &rarr; 2,282,392]	1761	+
raiA	raiA	[raiA 2,737,154 &rarr; 2,737,495]	342	+
ralA	ralA	[ralA 1,413,556 &rarr; 1,413,734]	179	+
rapA-rluA	rapA // rluA	[rapA-rluA 59,687 &larr; 63,264]	3578	-
rarD	rarD	[TU0-14044 4,003,288 &larr; 4,004,178]	891	-
ratA // yfjF	yfjF // ratA	[TU0-13685 2,754,008 &larr; 2,754,764]	757	-
ravA-viaA	viaA // ravA	[ravA-viaA 3,928,152 &larr; 3,931,093]	2942	-
rayT	rayT	[TU0-12851 247,637 &rarr; 248,134]	498	+
rbn	rbn	[TU0-13573 2,381,608 &rarr; 2,382,525]	918	+
rbsDACBKR	rbsC // rbsR // rbsB // rbsK // rbsA // rbsD	[rbsDACBKR 3,933,351 &rarr; 3,939,219]	5869	+
rclABC	rclA // rclB // rclC	[rclABC 317,726 &larr; 320,001]	2276	-
rclB // rclC	rclB // rclC	[TU0-12884 317,726 &larr; 318,567]	842	-
rclR	rclR	[TU0-12886 320,227 &rarr; 321,081]	855	+
rcnAB	rcnA // rcnB	[rcnAB 2,185,917 &rarr; 2,187,298]	1382	+
rcnB	rcnB	[TU0-13515 2,186,960 &rarr; 2,187,298]	339	+
rcnR	rcnR	[rcnR 2,185,524 &larr; 2,185,796]	273	-
rcsA	rcsA	[rcsA 2,023,968 &rarr; 2,024,591]	624	+
rcsB	rcsB	[rcsB 2,316,177 &rarr; 2,316,827]	651	+
rcsB	rcsB	[rcsB 2,316,177 &rarr; 2,316,827]	651	+
rcsC	rcsC	[rcsC 2,317,027 &larr; 2,319,876]	2850	-
rcsDB	rcsD // rcsB	[rcsDB 2,313,488 &rarr; 2,316,827]	3340	+
rcsF // trmO	rcsF // trmO	[TU0-12837 218,887 &larr; 219,995]	1109	-
rdcAB	rdcB // rdcA	[rdcAB 4,327,135 &rarr; 4,330,238]	3104	+
rdcAB	rdcB // rdcA	[rdcAB 4,327,135 &rarr; 4,330,238]	3104	+
rdgB-yggW	rdgB // hemW	[rdgB-yggW 3,096,681 &rarr; 3,098,403]	1723	+
rdgC	rdgC	[rdgC 409,108 &larr; 410,019]	912	-
rdlA	rdlA	[rdlA 1,269,323 &rarr; 1,269,389]	67	+
rdlB	rdlB	[rdlB 1,269,858 &rarr; 1,269,923]	66	+
rdlC	rdlC	[rdlC 1,270,393 &rarr; 1,270,460]	68	+
rdlD	rdlD	[rdlD 3,700,136 &rarr; 3,700,199]	64	+
recA	recA	[recA 2,822,708 &larr; 2,823,769]	1062	-
recAX	recA // recX	[recAX 2,822,139 &larr; 2,823,769]	1631	-
recC	recC	[recC 2,959,060 &larr; 2,962,428]	3369	-
recE // recT // ralR // rcbA // xisR // intR	rcbA // xisR // ralR // intR // recT // recE	[TU0-13226 1,412,000 &larr; 1,417,386]	5387	-
recF	recF	[recF 3,880,148 &larr; 3,881,221]	1074	-
recF	recF	[recF 3,880,148 &larr; 3,881,221]	1074	-
recG	recG	[recG 3,825,210 &rarr; 3,827,291]	2082	+
recN	recN	[recN 2,751,795 &rarr; 2,753,456]	1662	+
recQ	recQ	[recQ 4,005,864 &rarr; 4,007,693]	1830	+
relA	relA	[relA 2,911,417 &larr; 2,913,651]	2235	-
relA	relA	[relA 2,911,417 &larr; 2,913,651]	2235	-
relA-mazEF	relA // mazF // mazE	[relA-mazEF 2,910,756 &larr; 2,913,651]	2896	-
relA-mazEF	relA // mazF // mazE	[relA-mazEF 2,910,756 &larr; 2,913,651]	2896	-
relB // relE	relB // relE	[TU0-13325 1,645,346 &larr; 1,645,872]	527	-
relBE-hokD	relB // relE // hokD	[relBE-hokD 1,645,119 &larr; 1,645,872]	754	-
rem	rem	[TU0-13323 1,644,651 &larr; 1,644,902]	252	-
rep	rep	[rep 3,960,677 &rarr; 3,962,698]	2022	+
rfaDFCL	waaL // waaF // rfaD // waaC	[rfaDFCL 3,793,987 &rarr; 3,798,207]	4221	+
rfaDFCL	waaL // waaF // rfaD // waaC	[rfaDFCL 3,793,987 &rarr; 3,798,207]	4221	+
rfaDFCL	waaL // waaF // rfaD // waaC	[rfaDFCL 3,793,987 &rarr; 3,798,207]	4221	+
rfaDFCL	waaL // waaF // rfaD // waaC	[rfaDFCL 3,793,987 &rarr; 3,798,207]	4221	+
rfaH	rfaH	[rfaH 4,024,333 &larr; 4,024,821]	489	-
rfaQGPSBIJYZ-waaU	waaO // waaB // waaJ // waaG // waaS // waaY // waaQ // waaU // waaP // waaZ	[rfaQGPSBIJYZ-waaU 3,798,239 &larr; 3,808,098]	9860	-
rfaYZ	waaY // waaZ	[rfaYZ 3,799,345 &larr; 3,800,965]	1621	-
rfaZ-waaU	waaU // waaZ	[rfaZ-waaU 3,798,239 &larr; 3,800,196]	1958	-
rfbACX	rfbA // rfbX // rfbC	[rfbACX 2,108,337 &larr; 2,111,019]	2683	-
rfbBDACX	rfbB // rfbA // rfbD // rfbX // rfbC	[rfbBDACX 2,108,337 &larr; 2,113,061]	4725	-
rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM	wzxE // rffC // rffG // rffH // wzzE // wzyE // wecC // wecE // rfe // wecB // rffM // wecF	[rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM 3,967,916 &rarr; 3,980,696]	12781	+
rhaBAD	rhaA // rhaD // rhaB	[rhaBAD 4,093,448 &larr; 4,097,448]	4001	-
rhaD	rhaD	[rhaD 4,093,448 &larr; 4,094,272]	825	-
rhaM	rhaM	[rhaM 4,093,124 &larr; 4,093,438]	315	-
rhaSR	rhaS // rhaR	[rhaSR 4,097,736 &rarr; 4,099,494]	1759	+
rhaT	rhaT	[rhaT 4,099,491 &larr; 4,100,525]	1035	-
rhlB	rhlB	[TU0-14037 3,964,365 &larr; 3,965,630]	1266	-
rhlE	rhlE	[rhlE 830,872 &rarr; 832,236]	1365	+
rhoL	rhoL	[rhoL 3,966,231 &rarr; 3,966,332]	102	+
rhoL-rho	rhoL // rho	[rhoL-rho 3,966,231 &rarr; 3,967,676]	1446	+
yibA // rhsA	rhsA // yibA	[TU0-13989 3,762,183 &rarr; 3,767,179]	4997	+
rhsB	rhsB	[TU0-13948 3,619,192 &rarr; 3,623,427]	4236	+
ybfB // rhsC	rhsC // ybfB	[TU0-13026 729,583 &rarr; 734,102]	4520	+
ybbD // ylbH // ybbC // rhsD	ylbH // ybbC // ybbD // rhsD	[TU0-12960 523,261 &rarr; 529,130]	5870	+
ydcD // rhsE	rhsE // ydcD	[TU0-13276 1,527,890 &rarr; 1,530,404]	2515	+
rhtA	rhtA	[TU0-13058 849,210 &larr; 850,097]	888	-
rhtB	rhtB	[rhtB 4,008,439 &larr; 4,009,059]	621	-
rhtC	rhtC	[TU0-14048 4,007,757 &rarr; 4,008,377]	621	+
ribA	ribA	[ribA 1,338,570 &larr; 1,339,160]	591	-
ribA	ribA	[ribA 1,338,570 &larr; 1,339,160]	591	-
ribC	ribC	[ribC 1,742,601 &larr; 1,743,242]	642	-
ribE-nusB-thiL-pgpA	nusB // thiL // ribE // pgpA	[ribE-nusB-thiL-pgpA 434,647 &rarr; 437,107]	2461	+
ribF-ileS-lspA-fkpB-ispH	ileS // fkpB // lspA // ispH // ribF	[ribF-ileS-lspA-fkpB-ispH 21,407 &rarr; 27,227]	5821	+
ridA	ridA	[ridA 4,470,527 &larr; 4,470,913]	387	-
rihA	rihA	[TU0-13014 683,477 &larr; 684,412]	936	-
rihB	rihB	[rihB 2,254,245 &larr; 2,255,186]	942	-
rihC	rihC	[TU0-12797 27,293 &rarr; 28,207]	915	+
rimJ	rimJ	[rimJ 1,125,562 &rarr; 1,126,146]	585	+
rimK-ybjN	rimK // ybjN	[rimK-ybjN 891,967 &rarr; 893,433]	1467	+
rimL	rimL	[rimL 1,498,938 &rarr; 1,499,477]	540	+
rimO	rimO	[rimO 876,710 &larr; 878,035]	1326	-
rimP-nusA-infB	nusA // infB // rimP	[rimP-nusA-infB 3,313,342 &larr; 3,318,006]	4665	-
rirA-rfaQGPSBIJYZ-waaU	rirA // waaO // waaB // waaJ // waaG // waaS // waaY // waaQ // waaU // waaP // waaZ	[rirA-rfaQGPSBIJYZ-waaU 3,798,239 &larr; 3,808,238]	10000	-
rlhA	rlhA	[TU0-13265 1,506,781 &rarr; 1,508,742]	1962	+
rlmA	rlmA	[TU0-13421 1,906,251 &larr; 1,907,060]	810	-
rlmD	rlmD	[rlmD 2,913,699 &larr; 2,915,000]	1302	-
rlmE-ftsH	rlmE // ftsH	[rlmE-ftsH 3,325,001 &larr; 3,327,664]	2664	-
rlmE-ftsH	rlmE // ftsH	[rlmE-ftsH 3,325,001 &larr; 3,327,664]	2664	-
rlmG	rlmG	[TU0-13855 3,234,739 &larr; 3,235,875]	1137	-
rlmI	rlmI	[TU0-13103 1,028,779 &larr; 1,029,969]	1191	-
rlmJ	rlmJ	[rlmJ 3,645,385 &rarr; 3,646,227]	843	+
rlmL-uup	rlmL // uup	[rlmL-uup 1,007,844 &rarr; 1,011,871]	4028	+
rlmM	rlmM	[rlmM 2,940,143 &larr; 2,941,243]	1101	-
rlmN	rlmN	[TU0-13650 2,643,129 &larr; 2,644,283]	1155	-
rluB	rluB	[TU0-13195 1,326,852 &rarr; 1,327,727]	876	+
rluC	rluC	[TU0-13134 1,144,940 &rarr; 1,145,899]	960	+
rluD // pgeF	pgeF // rluD	[TU0-13675 2,734,303 &larr; 2,736,011]	1709	-
rluE // nudJ	rluE // nudJ	[TU0-13145 1,193,827 &larr; 1,194,951]	1125	-
rluF	rluF	[rluF 4,230,354 &rarr; 4,231,226]	873	+
rmf	rmf	[TU0-13097 1,015,715 &rarr; 1,015,882]	168	+
rmf	rmf	[rmf 1,015,715 &rarr; 1,015,882]	168	+
rmuC	rmuC	[TU0-14051 4,017,333 &rarr; 4,018,760]	1428	+
rna	rna	[rna 644,197 &larr; 645,003]	807	-
rnb	rnb	[rnb 1,346,978 &larr; 1,348,912]	1935	-
rnb	rnb	[rnb 1,346,978 &larr; 1,348,912]	1935	-
rnc-era	rnc // era	[rnc-era 2,702,481 &larr; 2,704,063]	1583	-
rnc-era-recO-pdxJ-acpS	recO // rnc // era // pdxJ // acpS	[rnc-era-recO-pdxJ-acpS 2,700,618 &larr; 2,704,063]	3446	-
rnd	rnd	[rnd 1,886,864 &larr; 1,887,991]	1128	-
rne	rne	[rne 1,141,182 &larr; 1,144,367]	3186	-
rne	rne	[rne 1,141,182 &larr; 1,144,367]	3186	-
rne	rne	[rne 1,141,182 &larr; 1,144,367]	3186	-
rne	rne	[rne 1,141,182 &larr; 1,144,367]	3186	-
rnhA	rnhA	[rnhA 235,535 &larr; 236,002]	468	-
rnk	rnk	[TU0-12996 643,557 &larr; 643,967]	411	-
rnlA	rnlA	[rnlA 2,765,918 &rarr; 2,766,991]	1074	+
rnlAB	rnlB // rnlA	[rnlAB 2,765,918 &rarr; 2,767,355]	1438	+
rnlB	rnlB	[rnlB 2,766,984 &rarr; 2,767,355]	372	+
rnlB	rnlB	[rnlB 2,766,984 &rarr; 2,767,355]	372	+
rnpB	rnpB	[rnpB 3,270,216 &larr; 3,270,592]	377	-
rnt-lhr	lhr // rnt	[rnt-lhr 1,728,347 &rarr; 1,733,703]	5357	+
rob	rob	[rob 4,634,441 &larr; 4,635,310]	870	-
roxA	roxA	[TU0-13144 1,187,119 &larr; 1,188,240]	1122	-
rpe-gph-trpS	gph // trpS // rpe	[rpe-gph-trpS 3,512,634 &larr; 3,515,059]	2426	-
rph	rph	[rph 3,815,863 &larr; 3,816,549]	687	-
rph-pyrE	rph // pyrE	[rph-pyrE 3,815,127 &larr; 3,816,549]	1423	-
rpiA	rpiA	[rpiA 3,058,666 &larr; 3,059,325]	660	-
rpiB	rpiB	[rpiB 4,313,350 &rarr; 4,313,799]	450	+
rplJL-rpoBC	rpoB // rpoC // rplJ // rplL	[rplJL-rpoBC 4,179,996 &rarr; 4,189,573]	9578	+
rplKAJL-rpoBC	rpoB // rpoC // rplA // rplK // rplJ // rplL	[rplKAJL-rpoBC 4,178,447 &rarr; 4,189,573]	11127	+
rplL	rplL	[rplL 4,180,560 &rarr; 4,180,925]	366	+
rplM-rpsI	rplM // rpsI	[rplM-rpsI 3,377,815 &larr; 3,378,651]	837	-
rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ	rpsH // rpmD // rplN // rpsE // rplE // rplX // rpsN // rplO // rpmJ // rplR // rplF // secY	[rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ 3,442,618 &larr; 3,448,149]	5532	-
rplT	rplT	[rplT 1,799,393 &larr; 1,799,749]	357	-
rplT-pheM	rplT // pheM	[rplT-pheM 1,799,226 &larr; 1,799,749]	524	-
rplU-rpmA	rpmA // rplU	[rplU-rpmA 3,332,862 &larr; 3,333,451]	590	-
rplU-rpmA-yhbE-obgE	rpmA // rplU // yhbE // obgE	[rplU-rpmA-yhbE-obgE 3,330,582 &larr; 3,333,451]	2870	-
rplY terminator // rplVp // rplY	rplY	[TU0-13557 2,282,517 &rarr; 2,282,801]	285	+
rpmBG	rpmG // rpmB	[rpmBG 3,811,250 &larr; 3,811,674]	425	-
rpmBG-mutM	mutM // rpmG // rpmB	[rpmBG-mutM 3,810,343 &larr; 3,811,674]	1332	-
rpmE	rpmE	[rpmE 4,127,013 &rarr; 4,127,225]	213	+
rpmF-plsX-fabHDG	rpmF // fabD // fabH // fabG // plsX	[rpmF-plsX-fabHDG 1,147,367 &rarr; 1,151,404]	4038	+
rpmH-rnpA	rpmH // rnpA	[rpmH-rnpA 3,884,336 &rarr; 3,884,852]	517	+
rpmH-rnpA	rpmH // rnpA	[rpmH-rnpA 3,884,336 &rarr; 3,884,852]	517	+
rpmH-rnpA	rpmH // rnpA	[rpmH-rnpA 3,884,336 &rarr; 3,884,852]	517	+
rpmI-rplT	rplT // rpmI	[rpmI-rplT 1,799,393 &larr; 1,799,999]	607	-
rpnA	rpnA	[TU0-13933 3,543,167 &rarr; 3,544,045]	879	+
rpnB	rpnB	[TU0-13590 2,422,649 &larr; 2,423,539]	891	-
rpnD	rpnD	[TU0-14204 4,568,998 &rarr; 4,569,918]	921	+
ypaA // rpnE	ypaA // rpnE	[TU0-13564 2,356,904 &rarr; 2,358,001]	1098	+
rpoBC	rpoB // rpoC	[rpoBC 4,181,245 &rarr; 4,189,573]	8329	+
rpoD	rpoD	[rpoD 3,213,047 &rarr; 3,214,888]	1842	+
rpoD	rpoD	[rpoD 3,213,047 &rarr; 3,214,888]	1842	+
rpoD	rpoD	[rpoD 3,213,047 &rarr; 3,214,888]	1842	+
rpoD	rpoD	[rpoD 3,213,047 &rarr; 3,214,888]	1842	+
rpoE-rseABC	rseD // rseC // rseA // rpoE // rseB	[rpoE-rseABC 2,707,322 &larr; 2,710,164]	2843	-
rpoE-rseABC	rseC // rseA // rpoE // rseB	[rpoE-rseABC 2,707,322 &larr; 2,710,012]	2691	-
rpoE-rseABC	rseC // rseA // rpoE // rseB	[rpoE-rseABC 2,707,322 &larr; 2,710,012]	2691	-
rpoE-rseABC	rseD // rseC // rseA // rpoE // rseB	[rpoE-rseABC 2,707,322 &larr; 2,710,164]	2843	-
rpoE-rseABC	rseD // rseC // rseA // rpoE // rseB	[rpoE-rseABC 2,707,322 &larr; 2,710,164]	2843	-
rpoE-rseABC	rseD // rseC // rseA // rpoE // rseB	[rpoE-rseABC 2,707,322 &larr; 2,710,164]	2843	-
rpoH	rpoH	[rpoH 3,599,929 &larr; 3,600,783]	855	-
rpoH	rpoH	[rpoH 3,599,929 &larr; 3,600,783]	855	-
rpoH	rpoH	[rpoH 3,599,929 &larr; 3,600,783]	855	-
rpoH	rpoH	[rpoH 3,599,929 &larr; 3,600,783]	855	-
rpoH	rpoH	[rpoH 3,599,929 &larr; 3,600,783]	855	-
rpoN-hpf-ptsN-yhbJ-npr	rpoN // rapZ // hpf // npr // ptsN	[rpoN-hpf-ptsN-yhbJ-npr 3,344,717 &rarr; 3,348,238]	3522	+
rpoS	rpoS	[rpoS 2,866,559 &larr; 2,867,551]	993	-
rpoS	rpoS	[rpoS 2,866,559 &larr; 2,867,551]	993	-
rpoS	rpoS	[rpoS 2,866,559 &larr; 2,867,551]	993	-
rpoS	rpoS	[rpoS 2,866,559 &larr; 2,867,551]	993	-
rpoS	rpoS	[rpoS 2,866,559 &larr; 2,867,551]	993	-
rpoZ-spoT-trmH-recG	recG // rpoZ // trmH // spoT	[rpoZ-spoT-trmH-recG 3,822,106 &rarr; 3,827,291]	5186	+
rppH-ptsP	ptsP // rppH	[rppH-ptsP 2,966,188 &larr; 2,968,977]	2790	-
rprA	rprA	[rprA 1,770,372 &rarr; 1,770,476]	105	+
rpsA-ihfB	ihfB // rpsA	[rpsA-ihfB 961,995 &rarr; 964,112]	2118	+
rpsA-ihfB	ihfB // rpsA	[rpsA-ihfB 961,995 &rarr; 964,112]	2118	+
rpsB-tsf	tff // rpsB // tsf	[rpsB-tsf 189,712 &rarr; 191,708]	1997	+
rpsF-priB-rpsR-rplI	priB // rpsR // rplI // rpsF	[rpsF-priB-rpsR-rplI 4,425,118 &rarr; 4,426,557]	1440	+
rpsI terminator // rpsI	rpsI	[TU0-42202 3,377,815 &larr; 3,378,207]	393	-
rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ	rpsJ // rplD // rplB // rpmC // rplP // rpsQ // rplW // rpsC // rpsS // rplC // rplV	[rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ 3,448,314 &larr; 3,453,270]	4957	-
rpsLG-fusA-tufA	rpsL // fusA // rpsG // tufA	[rpsLG-fusA-tufA 3,470,145 &larr; 3,474,552]	4408	-
rpsMKD-rpoA-rplQ	rpoA // rplQ // rpsK // rpsD // rpsM	[rpsMKD-rpoA-rplQ 3,439,616 &larr; 3,442,471]	2856	-
rpsMKD-rpoA-rplQ	rpoA // rplQ // rpsK // rpsD // rpsM	[rpsMKD-rpoA-rplQ 3,439,616 &larr; 3,442,471]	2856	-
rpsO	rpsO	[rpsO 3,311,415 &larr; 3,311,684]	270	-
rpsO-pnp	rpsO // pnp	[rpsO-pnp 3,309,033 &larr; 3,311,684]	2652	-
rpsP-rimM-trmD-rplS	trmD // rplS // rpsP // rimM	[rpsP-rimM-trmD-rplS 2,744,183 &larr; 2,746,185]	2003	-
rpsT	rpsT	[rpsT 20,815 &larr; 21,078]	264	-
rpsT	rpsT	[rpsT 20,815 &larr; 21,078]	264	-
rpsU	rpsU	[rpsU 3,210,781 &rarr; 3,210,996]	216	+
rpsU-dnaG-rpoD	dnaG // rpoD // rpsU	[rpsU-dnaG-rpoD 3,210,781 &rarr; 3,214,888]	4108	+
rpsU-dnaG-rpoD	dnaG // rpoD // rpsU	[rpsU-dnaG-rpoD 3,210,781 &rarr; 3,214,888]	4108	+
rpsU-dnaG-rpoD	dnaG // rpoD // rpsU	[rpsU-dnaG-rpoD 3,210,781 &rarr; 3,214,888]	4108	+
rraA	rraA	[rraA 4,118,845 &larr; 4,119,330]	486	-
rraB	rraB	[rraB 4,478,473 &rarr; 4,478,889]	417	+
rrfG	rrfG	[rrfG 2,726,069 &larr; 2,726,188]	120	-
rrlA-rrfA	rrlA // rrfA	[rrlA-rrfA 4,037,519 &rarr; 4,040,636]	3118	+
rrlB-rrfB	rrlB // rrfB	[rrlB-rrfB 4,168,641 &rarr; 4,171,756]	3116	+
rrlE-rrfE	rrlE // rrfE	[rrlE-rrfE 4,210,043 &rarr; 4,213,159]	3117	+
rrlH-rrfH	rrlH // rrfH	[rrlH-rrfH 225,759 &rarr; 228,875]	3117	+
rrsA-ileT-alaT-rrlA-rrfA	ileT // alaT // rrsA // rrlA // rrfA	[rrsA-ileT-alaT-rrlA-rrfA 4,035,531 &rarr; 4,040,636]	5106	+
rrsA-ileT-alaT-rrlA-rrfA	ileT // alaT // rrsA // rrlA // rrfA	[rrsA-ileT-alaT-rrlA-rrfA 4,035,531 &rarr; 4,040,636]	5106	+
rrsB-gltT-rrlB-rrfB	gltT // rrlB // rrfB // rrsB	[rrsB-gltT-rrlB-rrfB 4,166,659 &rarr; 4,171,756]	5098	+
rrsB-gltT-rrlB-rrfB	gltT // rrlB // rrfB // rrsB	[rrsB-gltT-rrlB-rrfB 4,166,659 &rarr; 4,171,756]	5098	+
rrsC-gltU-rrlC-rrfC	gltU // rrsC // rrlC // rrfC	[rrsC-gltU-rrlC-rrfC 3,941,808 &rarr; 3,946,819]	5012	+
