Gene_Names	Direction	Sequence - coordinates of DNA region
argR	+	[argR 3,384,703 &rarr; 3,385,173]
chpB // chpS	+	[chpSB 4,448,447 &rarr; 4,449,042]
glnS	+	[glnS 706,093 &rarr; 707,757]
nhaB	-	[TU0-13173 1,233,176 &larr; 1,234,717]
yjfZ	-	[yjfZ 4,426,628 &larr; 4,427,422]
ypaA // rpnE	+	[TU0-13564 2,356,904 &rarr; 2,358,001]
malX // malY	+	[malXY 1,699,355 &rarr; 1,702,129]
prlC // rsmJ	-	[prlC-yhiQ 3,642,380 &larr; 3,645,182]
argQ // argZ // argY // argV // serV	-	[serV-argVYZQ 2,817,784 &larr; 2,818,645]
cynS // cynT	+	[cynTS 358,799 &rarr; 359,959]
patA	+	[patA 3,219,494 &rarr; 3,220,873]
rrfC // rrlC // gltU // rrsC	+	[rrsC-gltU-rrlC-rrfC 3,941,808 &rarr; 3,946,819]
amn	+	[amn 2,055,061 &rarr; 2,056,515]
ycgX	-	[TU0-13157 1,212,703 &larr; 1,213,107]
yidP	+	[yidP 3,863,899 &rarr; 3,864,615]
yeiQ	+	[TU0-13548 2,266,245 &rarr; 2,267,711]
betT	+	[betT 329,463 &rarr; 331,496]
yrhB	+	[TU0-13941 3,584,759 &rarr; 3,585,043]
asnV	+	[asnV 2,062,260 &rarr; 2,062,335]
rcsB // rcsD	+	[rcsDB 2,313,488 &rarr; 2,316,827]
trxA	+	[trxA 3,965,761 &rarr; 3,966,090]
nrdH // nrdI // nrdF // nrdE	+	[nrdHIEF 2,800,723 &rarr; 2,804,461]
entS	+	[entS 622,300 &rarr; 623,550]
ycfT	-	[TU0-13140 1,174,092 &larr; 1,175,165]
yhgN	+	[yhgN 3,575,071 &rarr; 3,575,664]
pbpG	-	[TU0-13529 2,223,938 &larr; 2,224,870]
araJ	-	[araJ 411,297 &larr; 412,481]
yhfL	+	[TU0-13923 3,499,448 &rarr; 3,499,615]
ptsH // ptsI // crr	+	[ptsHI-crr 2,533,764 &rarr; 2,536,343]
lpoA	+	[yraM 3,293,400 &rarr; 3,295,436]
fiu	-	[fiu 839,249 &larr; 841,531]
ydhK // ydhJ // ydhI	+	[ydhIJK 1,721,025 &rarr; 1,724,133]
pspG	+	[pspG 4,262,840 &rarr; 4,263,082]
clsC // ymdB	+	[ymdB-clsC 1,105,820 &rarr; 1,107,776]
dtpD	-	[dtpD 741,075 &larr; 742,556]
rcnR	-	[rcnR 2,185,524 &larr; 2,185,796]
rpoH	-	[rpoH 3,599,929 &larr; 3,600,783]
csrD	-	[TU0-13904 3,401,392 &larr; 3,403,332]
cadA // cadB	-	[cadBA 4,356,470 &larr; 4,360,031]
nanC	-	[yjhA 4,538,785 &larr; 4,539,501]
gadX	-	[gadX 3,664,986 &larr; 3,665,810]
greA	-	[greA 3,328,239 &larr; 3,328,715]
dmsD // ynfH // ynfG // ynfF // ynfE	+	[ynfEFGH-dmsD 1,658,069 &rarr; 1,665,120]
gfcB // gfcC // gfcD	-	[TU0-13107 1,045,849 &larr; 1,049,332]
yagU	+	[yagU 302,991 &rarr; 303,605]
ugd	-	[TU0-13495 2,098,447 &larr; 2,099,613]
trpA // trpB // trpC // trpD // trpE // trpL	-	[trpLEDCBA 1,316,416 &larr; 1,323,082]
ibaG	-	[ibaG 3,336,549 &larr; 3,336,803]
tsx	-	[tsx 431,129 &larr; 432,013]
yeiI	+	[yeiI 2,251,700 &rarr; 2,252,788]
inaA	-	[inaA 2,348,822 &larr; 2,349,472]
tufA // fusA	-	[fusA-tufA 3,470,145 &larr; 3,473,514]
ldtD	+	[ldtD 981,047 &rarr; 982,894]
tp2	-	[tp2 122,697 &larr; 122,857]
insH6	-	[TU0-13479 2,066,305 &larr; 2,067,285]
oxyR	+	[oxyR 4,158,490 &rarr; 4,159,407]
yhaV // prlF	+	[sohA-yhaV 3,277,002 &rarr; 3,277,801]
uspA	+	[uspA 3,640,111 &rarr; 3,640,545]
mzrA // yqjA	+	[yqjA-mzrA 3,247,773 &rarr; 3,248,822]
dcuC	-	[dcuC 654,583 &larr; 655,968]
gntT	+	[gntT 3,546,559 &rarr; 3,547,875]
ybjS	-	[TU0-13074 905,740 &larr; 906,753]
ybjX	-	[ybjX 918,128 &larr; 919,120]
yodC	-	[TU0-13461 2,028,188 &larr; 2,028,370]
kdpF // kdpC // kdpB // kdpA	-	[kdpFABC 724,407 &larr; 728,821]
rlmG	-	[TU0-13855 3,234,739 &larr; 3,235,875]
tcyJ // fliZ // fliA	-	[fliAZY 1,999,585 &larr; 2,001,789]
ispH // fkpB // lspA	+	[lsp-fkpB-ispH 25,207 &rarr; 27,227]
fabB	-	[fabB 2,440,385 &larr; 2,441,605]
ompA	-	[ompA 1,019,013 &larr; 1,020,053]
rhtA	-	[TU0-13058 849,210 &larr; 850,097]
rdlA	+	[rdlA 1,269,323 &rarr; 1,269,389]
argS	+	[argS 1,960,062 &rarr; 1,961,795]
dmsA // dmsB // dmsC	+	[dmsABC 940,959 &rarr; 944,896]
nudF // yqiB // cpdA // yqiA // parE	-	[TU0-13837 3,173,504 &larr; 3,177,910]
osmE	-	[osmE 1,821,918 &larr; 1,822,256]
C0614	-	[TU0-14236 2,653,452 &larr; 2,653,538]
fnrS	+	[fnrS 1,409,129 &rarr; 1,409,247]
alsE // alsC // alsA // alsB // alsR	-	[alsRBACE 4,307,783 &larr; 4,312,991]
acrZ	+	[acrZ 794,773 &rarr; 794,922]
appY	+	[appY 583,681 &rarr; 584,430]
rsmF	+	[TU0-13428 1,920,223 &rarr; 1,921,662]
araC	+	[araC 70,387 &rarr; 71,265]
yghX	-	[TU0-13821 3,146,856 &larr; 3,147,691]
pflB	-	[pflB 951,272 &larr; 953,554]
ftsZ // ftsA	+	[ftsAZ 103,982 &rarr; 106,456]
azuC	-	[azuC 1,987,873 &larr; 1,987,959]
pdxA // surA // lptD	-	[imp-surA-pdxA 52,427 &larr; 57,109]
poxB // hcr // hcp	-	[hcp-hcr-poxB 909,331 &larr; 913,814]
rssB // rssA	+	[rssAB 1,289,245 &rarr; 1,291,255]
ybfA	+	[TU0-13025 729,134 &rarr; 729,340]
argP	+	[argP 3,059,753 &rarr; 3,060,646]
pdxY // tyrS // pdxH	-	[pdxH-tyrS-pdxY 1,715,026 &larr; 1,718,007]
apaH // apaG // rsmA // pdxA // surA	-	[surA-pdxA-rsmA-apaGH 50,380 &larr; 54,702]
yjiJ	-	[TU0-14200 4,561,497 &larr; 4,562,675]
fadR	+	[fadR 1,234,938 &rarr; 1,235,657]
accC // accB	+	[accBC 3,405,436 &rarr; 3,407,266]
dcuR // dcuS	-	[dcuSR 4,349,315 &larr; 4,351,662]
ybeD	-	[TU0-13007 662,379 &larr; 662,642]
ydjE	-	[TU0-13392 1,852,621 &larr; 1,853,979]
intG	+	[intG 2,012,502 &rarr; 2,012,780]
tff // rpsB // tsf	+	[rpsB-tsf 189,712 &rarr; 191,708]
uacT	+	[TU0-13785 3,031,367 &rarr; 3,032,815]
yjgX	-	[TU0-14182 4,499,593 &larr; 4,500,791]
mdtF // mdtE	+	[mdtEF 3,659,232 &rarr; 3,663,527]
galE	-	[galE 791,039 &larr; 792,055]
ybdD	+	[TU0-12991 632,182 &rarr; 632,379]
ppsR	+	[TU0-13375 1,787,445 &rarr; 1,788,278]
mrcA	+	[mrcA 3,522,871 &rarr; 3,525,423]
pspA // pspB // pspC // pspD // pspE	+	[pspABCDE 1,368,079 &rarr; 1,370,003]
ygeP	-	[TU0-13768 2,997,689 &larr; 2,997,988]
yjfF // ytfT // ytfR // ytfQ	+	[TU0-14166 4,449,962 &rarr; 4,454,578]
artM // artQ // artI // artP	-	[artPIQM 900,866 &larr; 903,734]
ssnA	+	[ssnA 3,019,161 &rarr; 3,020,489]
ybfE	-	[ybfE 711,605 &larr; 711,898]
mepH	+	[mepH 1,734,435 &rarr; 1,735,250]
guaC	+	[guaC 113,444 &rarr; 114,487]
tas	+	[TU0-13750 2,971,597 &rarr; 2,972,637]
rsgA	-	[TU0-14150 4,390,457 &larr; 4,391,509]
eno // pyrG	-	[pyrG-eno 2,906,643 &larr; 2,909,666]
agrB	+	[agrB 3,648,294 &rarr; 3,648,377]
cueR	+	[TU0-12955 513,993 &rarr; 514,400]
gloA	+	[gloA 1,727,837 &rarr; 1,728,244]
ydgD	+	[TU0-13342 1,671,960 &rarr; 1,672,781]
ddlA	-	[ddlA 399,829 &larr; 400,923]
ygcE // yqcE	+	[TU0-13733 2,900,592 &rarr; 2,903,374]
waaA // coaD	+	[kdtA-coaD 3,808,540 &rarr; 3,810,304]
yjdN	-	[TU0-14131 4,325,298 &larr; 4,325,741]
yajC // tgt	+	[tgt-yajC 426,137 &rarr; 427,619]
flu	+	[flu 2,071,539 &rarr; 2,074,658]
leuL	-	[leuL 83,622 &larr; 83,708]
decR	+	[decR 468,383 &rarr; 468,841]
tpiA	-	[tpiA 4,110,740 &larr; 4,111,507]
relB // relE	-	[TU0-13325 1,645,346 &larr; 1,645,872]
acpH	-	[acpH 424,337 &larr; 424,918]
csrA	-	[TU0-13716 2,818,961 &larr; 2,819,146]
fliL // fliM // fliN // fliO // fliP // fliQ // fliR	+	[fliLMNOPQR 2,019,618 &rarr; 2,023,678]
dgkA	+	[dgkA 4,256,637 &rarr; 4,257,005]
xapR	-	[xapR 2,521,593 &larr; 2,522,477]
acrB	-	[acrB 481,254 &larr; 484,403]
gapA	+	[gapA 1,862,771 &rarr; 1,863,766]
ykiA	+	[ykiA 408,609 &rarr; 408,950]
rob	-	[rob 4,634,441 &larr; 4,635,310]
dgcZ	-	[dgcZ 1,622,960 &larr; 1,623,850]
ygdI	-	[ygdI 2,942,918 &larr; 2,943,145]
yfjW	+	[TU0-13698 2,773,318 &rarr; 2,775,021]
recF // dnaN // dnaA	-	[dnaAN-recF 3,880,148 &larr; 3,883,729]
frwB // frwC	+	[TU0-14092 4,142,530 &rarr; 4,143,944]
paaY // paaX	+	[paaXY 1,463,539 &rarr; 1,465,061]
hflC // hflK // hflX // hfq // miaA	+	[miaA-hfq-hflXKC 4,399,252 &rarr; 4,404,304]
rybA // mntS	-	[rybA-mntS 852,725 &larr; 853,064]
yahM	+	[TU0-12897 345,404 &rarr; 345,649]
glxK // ybbY // allB // ybbW // glxR // hyi // gcl	+	[gcl-hyi-glxR-ybbVW-allB-ybbY-glxK 533,916 &rarr; 543,033]
ydeN	-	[TU0-13292 1,580,842 &larr; 1,582,524]
yfbK	-	[yfbK 2,383,995 &larr; 2,385,722]
ffh	-	[ffh 2,746,434 &larr; 2,747,795]
atpC // atpD // atpG // atpA // atpH // atpF // atpE // atpB // atpI	-	[atpIBEFHAGDC 3,915,553 &larr; 3,922,440]
yiiE	+	[TU0-14071 4,079,291 &rarr; 4,079,509]
recF // dnaN // dnaA	-	[dnaAN-recF 3,880,148 &larr; 3,883,729]
rutR	+	[rutR 1,074,242 &rarr; 1,074,880]
gntU	-	[TU0-42252 3,575,721 &larr; 3,577,061]
ykgM // ykgO	-	[ykgMO 312,374 &larr; 312,777]
kdgK	+	[kdgK 3,679,419 &rarr; 3,680,348]
yncH	+	[TU0-13275 1,526,940 &rarr; 1,527,152]
yebQ	+	[yebQ 1,910,276 &rarr; 1,911,649]
yphA	+	[TU0-13661 2,673,346 &rarr; 2,673,768]
eda // edd	-	[edd-eda 1,932,115 &larr; 1,934,604]
ubiD	+	[TU0-14054 4,024,988 &rarr; 4,026,481]
poxB	-	[poxB 909,331 &larr; 911,049]
ubiX	-	[ubiX 2,428,057 &larr; 2,428,626]
waaL // waaC // waaF // rfaD	+	[rfaDFCL 3,793,987 &rarr; 3,798,207]
insA2 // insB2 // insAB2 // afuB // afuC	-	[TU0-12865 277,756 &larr; 279,875]
uvrB	+	[uvrB 813,526 &rarr; 815,547]
opgD	+	[TU0-13259 1,496,856 &rarr; 1,498,511]
ydbJ	+	[ydbJ 1,441,058 &rarr; 1,441,324]
ypfJ // tmcA	-	[TU0-13644 2,593,844 &larr; 2,596,737]
ftsQ // ftsA // ftsZ	+	[ftsQAZ 103,155 &rarr; 106,456]
rhlB	-	[TU0-14037 3,964,365 &larr; 3,965,630]
hupA	+	[hupA 4,200,281 &rarr; 4,200,553]
pspE	+	[pspE 1,369,689 &rarr; 1,370,003]
phoQ	-	[phoQ 1,188,316 &larr; 1,189,776]
dinJ // yafQ	-	[dinJ-yafQ 245,961 &larr; 246,502]
ilvH // ilvI	+	[ilvIH 85,630 &rarr; 87,848]
tynA	-	[TU0-13243 1,449,076 &larr; 1,451,349]
yccX	+	[yccX 1,030,064 &rarr; 1,030,342]
eutB // eutC // eutL // eutK // eutR	-	[TU0-13627 2,554,130 &larr; 2,558,679]
nadB	+	[nadB 2,710,420 &rarr; 2,712,042]
yidB	-	[TU0-14020 3,877,067 &larr; 3,877,465]
gadC // gadB	-	[gadBC 1,568,954 &larr; 1,572,045]
valS // holC	-	[holC-valS 4,480,982 &larr; 4,484,280]
ftsQ	+	[ftsQ 103,155 &rarr; 103,985]
tilS	+	[TU0-12833 212,331 &rarr; 213,629]
pheA // pheL	+	[pheLA 2,737,599 &rarr; 2,738,905]
racC	-	[TU0-13227 1,417,488 &larr; 1,417,763]
ytfA	+	[ytfA 4,427,694 &rarr; 4,428,095]
oxc	-	[TU0-13610 2,490,256 &larr; 2,491,950]
thrL // thrA // thrB // thrC	+	[thrLABC 190 &rarr; 5,020]
xanP	+	[TU0-14005 3,828,945 &rarr; 3,830,336]
arcA	-	[arcA 4,639,590 &larr; 4,640,306]
sgbE // sgbU // sgbH // lyxK // yiaO // yiaN // yiaM // yiaL // yiaK	+	[yiaKLMNO-lyx-sgbHUE 3,742,733 &rarr; 3,750,781]
lptB // lptA // lptC // kdsC	+	[kdsC-lptCAB 3,342,273 &rarr; 3,344,669]
yadH // yadG	+	[TU0-12815 142,779 &rarr; 144,472]
ybbO // tesA	-	[tesA-ybbO 518,340 &larr; 519,765]
puuE // puuB // puuC // puuR // puuD	+	[puuDRCBE 1,361,120 &rarr; 1,366,815]
yoaH	-	[yoaH 1,894,552 &larr; 1,894,731]
prmB // aroC // mepA // yfcA // epmC // yfcL	-	[TU0-13593 2,443,891 &larr; 2,448,440]
ppsA	-	[pps 1,784,734 &larr; 1,787,112]
yibJ	+	[TU0-13990 3,767,221 &rarr; 3,767,922]
msrA	-	[msrA 4,441,538 &larr; 4,442,176]
symR	+	[symR 4,579,835 &rarr; 4,579,911]
yciE	-	[yciE 1,314,718 &larr; 1,315,224]
rihC	+	[TU0-12797 27,293 &rarr; 28,207]
gltX	-	[gltX 2,519,257 &larr; 2,520,672]
yciI	-	[yciI 1,310,569 &larr; 1,310,865]
lgoD	+	[yjjN 4,595,990 &rarr; 4,597,012]
yfbO	+	[TU0-13577 2,388,635 &rarr; 2,389,057]
cysC // cysN // cysD	-	[cysDNC 2,873,387 &larr; 2,876,329]
rdlD	+	[rdlD 3,700,136 &rarr; 3,700,199]
aldA	+	[aldA 1,488,232 &rarr; 1,489,671]
crp	+	[crp 3,486,120 &rarr; 3,486,752]
uspD // yiiS	+	[yiiS-uspD 4,112,967 &rarr; 4,113,721]
gdhA	+	[gdhA 1,842,371 &rarr; 1,843,714]
cspD	-	[cspD 922,366 &larr; 922,590]
ycgM	+	[TU0-13170 1,228,079 &rarr; 1,228,738]
queG	-	[queG 4,392,928 &larr; 4,394,067]
ftp	-	[TU0-13561 2,310,479 &larr; 2,311,534]
nupG	+	[nupG 3,105,714 &rarr; 3,106,970]
3'ETSleuZ // leuZ // cysT // glyW	-	[glyW-cysT-leuZ 1,991,748 &larr; 1,992,117]
gspB // gspA	-	[gspAB 3,453,508 &larr; 3,455,398]
recF	-	[recF 3,880,148 &larr; 3,881,221]
rrfA // rrlA // alaT // ileT // rrsA	+	[rrsA-ileT-alaT-rrlA-rrfA 4,035,531 &rarr; 4,040,636]
yciH // pyrF	+	[pyrF-yciH 1,341,921 &rarr; 1,342,984]
mcrA	+	[TU0-13154 1,210,346 &rarr; 1,211,179]
yicS	+	[yicS 3,840,215 &rarr; 3,840,508]
psuT	-	[TU0-13545 2,256,085 &larr; 2,257,335]
asnC	-	[asnC 3,926,545 &larr; 3,927,003]
yhhW	-	[TU0-13936 3,578,950 &larr; 3,579,645]
metZ // metW // metV	+	[metZWV 2,947,387 &rarr; 2,947,683]
rsmB	+	[rsmB 3,435,207 &rarr; 3,436,496]
hemF	+	[hemF 2,553,225 &rarr; 2,554,124]
astE // astB // astD // astA // astC	-	[astCADBE 1,825,955 &larr; 1,831,982]
yidQ	+	[yidQ 3,867,728 &rarr; 3,868,060]
ycfP // nagZ // thiK // lpoB // ycfL // hinT	+	[TU0-13136 1,161,885 &rarr; 1,165,685]
yhbY	+	[yhbY 3,327,790 &rarr; 3,328,083]
btsS // btsR	-	[TU0-13526 2,212,243 &larr; 2,214,644]
dctR // slp	+	[slp-dctR 3,653,961 &rarr; 3,655,213]
yheU // yheT // yheS	+	[TU0-13919 3,481,289 &rarr; 3,484,436]
ptsH // ptsI // crr	+	[ptsHI-crr 2,533,764 &rarr; 2,536,343]
C0362	+	[C0362 1,552,001 &rarr; 1,552,386]
topA	+	[topA 1,331,048 &rarr; 1,333,645]
rzpD // rrrD // essD	+	[essD-ybcS-rzpD 577,398 &rarr; 578,568]
arcB	-	[arcB 3,350,689 &larr; 3,353,025]
ycdY // ycdX	+	[TU0-13120 1,098,879 &rarr; 1,100,194]
ybeL	+	[ybeL 675,018 &rarr; 675,500]
yegW	-	[yegW 2,182,035 &larr; 2,182,781]
fadL	+	[fadL 2,461,306 &rarr; 2,462,646]
aaeX // aaeA // aaeB	-	[aaeXAB 3,386,221 &larr; 3,389,337]
ppiA	-	[ppiA 3,491,725 &larr; 3,492,297]
qseG	-	[yfhG 2,688,793 &larr; 2,689,506]
mfd	-	[mfd 1,170,518 &larr; 1,173,964]
cca // ygiM	+	[htrG-cca 3,201,207 &rarr; 3,203,129]
yehW // yehX // yehY // osmF	-	[osmF-yehYXW 2,215,745 &larr; 2,219,481]
tusE	-	[TU0-13104 1,030,339 &larr; 1,030,668]
yafU	-	[yafU 238,746 &larr; 239,084]
yeeZ	-	[TU0-13492 2,088,304 &larr; 2,089,128]
sodA	+	[sodA 4,100,810 &rarr; 4,101,430]
ispB	+	[TU0-13885 3,333,710 &rarr; 3,334,681]
clpA	+	[clpA 923,264 &rarr; 925,540]
yadN	-	[yadN 156,299 &larr; 156,883]
pspF	-	[pspF 1,366,935 &larr; 1,367,912]
uidC // uidB // uidA	-	[uidABC 1,691,586 &larr; 1,696,071]
ycaQ // lpxK // msbA // ycaI	+	[TU0-13087 964,320 &rarr; 970,621]
tesB	-	[tesB 474,301 &larr; 475,161]
yeeN	+	[TU0-13476 2,056,858 &rarr; 2,057,574]
ompA	-	[ompA 1,019,013 &larr; 1,020,053]
cyuP // cyuA	-	[TU0-13869 3,255,341 &larr; 3,258,010]
lysU	-	[lysU 4,353,200 &larr; 4,354,717]
modC // modB // modA	+	[modABC 795,089 &rarr; 797,612]
cspA	+	[cspA 3,720,049 &rarr; 3,720,261]
gapA	+	[gapA 1,862,771 &rarr; 1,863,766]
ybjL	-	[TU0-13071 888,134 &larr; 889,819]
tusA	-	[tusA 3,608,751 &larr; 3,608,996]
yedN	-	[TU0-13458 2,011,223 &larr; 2,012,351]
ilvN // ilvB // ivbL	-	[ivbL-ilvBN 3,850,802 &larr; 3,852,988]
ygjK // ygjJ	+	[TU0-13852 3,227,801 &rarr; 3,231,239]
grpE	-	[grpE 2,750,115 &larr; 2,750,708]
ftsZ	+	[ftsZ 105,305 &rarr; 106,456]
pgk	-	[pgk 3,071,459 &larr; 3,072,622]
lacA // lacY // lacZ	-	[lacZYA 361,249 &larr; 366,305]
ybiX	-	[TU0-13054 838,530 &larr; 839,207]
proC	-	[proC 404,835 &larr; 405,644]
lpxM	-	[TU0-13441 1,939,222 &larr; 1,940,193]
cyaA	+	[cyaA 3,991,153 &rarr; 3,993,699]
ygiW	-	[TU0-13834 3,169,284 &larr; 3,169,676]
stpA	-	[stpA 2,798,091 &larr; 2,798,495]
yghO	-	[TU0-14233 3,129,043 &larr; 3,130,215]
xdhC // xdhB // xdhA	+	[xdhABC 3,000,345 &rarr; 3,003,968]
rpiB	+	[rpiB 4,313,350 &rarr; 4,313,799]
zitB	-	[TU0-13038 783,882 &larr; 784,823]
metY	-	[metY 3,318,213 &larr; 3,318,289]
proQ // prc	-	[TU0-13425 1,912,768 &larr; 1,915,534]
rraA // menA	-	[menA-rraA 4,118,845 &larr; 4,120,349]
pitB	-	[pitB 3,134,872 &larr; 3,136,371]
pflB // focA	-	[focA-pflB 951,272 &larr; 954,466]
prfC	+	[TU0-14217 4,609,414 &rarr; 4,611,003]
uhpC // uhpB // uhpA // ilvN // ilvB // ivbL	-	[ivbL-ilvBN-uhpABC 3,847,305 &larr; 3,852,988]
ahpF // ahpC	+	[ahpCF 638,945 &rarr; 641,318]
rseD // rseC // rseB // rseA // rpoE	-	[rpoE-rseABC 2,707,322 &larr; 2,710,164]
rssB	+	[rssB 1,290,242 &rarr; 1,291,255]
chiQ	+	[TU0-13022 709,790 &rarr; 710,116]
yeaQ	-	[TU0-13406 1,879,007 &larr; 1,879,255]
pheM	-	[pheM 1,799,226 &larr; 1,799,270]
yacC // speD // speE	-	[yacC-speED 134,788 &larr; 136,917]
mscS	-	[mscS 3,068,947 &larr; 3,069,807]
nanS	-	[TU0-14196 4,536,614 &larr; 4,537,594]
gadW	-	[gadW 3,663,890 &larr; 3,664,618]
ascB	+	[ascB 2,840,990 &rarr; 2,842,414]
fhlA // hypE // hypD // hypC // hypB // hypA	+	[hypABCDE-fhlA 2,850,647 &rarr; 2,856,416]
lipA	-	[lipA 659,251 &larr; 660,216]
ynjE	+	[ynjE 1,839,467 &rarr; 1,840,774]
insH8	-	[insH-8 2,289,065 &larr; 2,290,045]
rpmH // rnpA	+	[rpmH-rnpA 3,884,336 &rarr; 3,884,852]
xdhD // ygfM	+	[TU0-13782 3,020,540 &rarr; 3,024,186]
insD6 // insC6 // insCD6	+	[TU0-14179 4,498,272 &rarr; 4,499,500]
phoU // pstB	-	[pstB-phoU 3,906,853 &larr; 3,908,366]
micL	-	[micL 1,958,441 &larr; 1,958,520]
yoeA	+	[yoeA NIL &rarr; NIL]
ybdJ	-	[TU0-12988 605,951 &larr; 606,199]
ydiM	+	[TU0-13372 1,771,071 &rarr; 1,772,285]
narP	+	[narP 2,290,500 &rarr; 2,291,147]
ppx // ppk	+	[ppk-ppx 2,623,044 &rarr; 2,626,656]
pbl	+	[TU0-13765 2,993,939 &rarr; 2,994,441]
ytfI	+	[TU0-14163 4,437,707 &rarr; 4,438,645]
groL	+	[groL 4,371,025 &rarr; 4,372,671]
feaR	-	[feaR 1,446,378 &larr; 1,447,283]
exoD	-	[TU0-12969 566,098 &larr; 566,361]
insK	+	[insK 3,721,198 &rarr; 3,722,049]
sodC	-	[sodC 1,724,134 &larr; 1,724,655]
gltS	-	[gltS 3,827,460 &larr; 3,828,665]
mutH	+	[TU0-13747 2,969,662 &rarr; 2,970,351]
nikR // nikA // nikB // nikC // nikD // nikE	+	[nikABCDER 3,613,667 &rarr; 3,618,989]
epmA	+	[epmA 4,382,643 &rarr; 4,383,620]
rpoS	-	[rpoS 2,866,559 &larr; 2,867,551]
frr	+	[frr 192,872 &rarr; 193,429]
hemH	+	[hemH 498,055 &rarr; 499,017]
msyB	-	[msyB 1,113,807 &larr; 1,114,181]
ynfK	-	[TU0-13338 1,666,524 &larr; 1,667,219]
dacB	+	[dacB 3,328,963 &rarr; 3,330,396]
ygcS	-	[TU0-13730 2,896,533 &larr; 2,897,870]
hybO // hybG // hybF // hybE // hybD // hybC // hybB // hybA	-	[hybOABCDEFG 3,139,716 &larr; 3,146,261]
mdtN // mdtO // mdtP	-	[TU0-14128 4,299,564 &larr; 4,304,109]
phoH	+	[phoH 1,084,992 &rarr; 1,086,056]
pykA	+	[pykA 1,937,649 &rarr; 1,939,091]
bluF	-	[bluF 1,214,264 &larr; 1,215,475]
queC	-	[TU0-12933 464,852 &larr; 465,547]
glnQ	-	[glnQ 845,741 &larr; 846,463]
ydfU // ydfT	-	[TU0-13322 1,642,489 &larr; 1,644,304]
dcuD	+	[dcuD 3,374,869 &rarr; 3,376,236]
ygaH // ygaZ	+	[TU0-13713 2,809,617 &rarr; 2,810,679]
flgB // flgC // flgD // flgE // flgF // flgG // flgH // flgI // flgJ	+	[flgBCDEFGHIJ 1,131,018 &rarr; 1,138,312]
yjbH // yjbG // yjbF	+	[TU0-14112 4,236,262 &rarr; 4,239,730]
mlc	-	[mlc 1,667,344 &larr; 1,668,564]
ampH	-	[ampH 395,130 &larr; 396,287]
leuO	+	[leuO 84,368 &rarr; 85,312]
iraP	+	[iraP 401,386 &rarr; 401,646]
rstB // rstA	+	[rstAB 1,682,159 &rarr; 1,684,183]
yneJ	+	[TU0-13305 1,614,804 &rarr; 1,615,685]
yfjH	-	[yfjH 2,757,644 &larr; 2,758,600]
yfjT // yfjS // ypjK // yfjR	+	[TU0-13695 2,769,703 &rarr; 2,771,615]
bamC // dapA	-	[dapA-nlpB 2,597,831 &larr; 2,599,760]
yijE	+	[TU0-14089 4,136,108 &rarr; 4,137,013]
torZ // torY	-	[torYZ 1,954,578 &larr; 1,958,132]
hflC // hflK // hflX // hfq // miaA // mutL	+	[mutL-miaA-hfq-hflXKC 4,397,412 &rarr; 4,404,304]
csrA	-	[csrA 2,818,961 &larr; 2,819,146]
yahJ // yahI	+	[TU0-12894 340,165 &rarr; 342,507]
polB	-	[polB 63,429 &larr; 65,780]
pqqL	-	[TU0-13289 1,572,407 &larr; 1,575,202]
yfaH	+	[yfaH 2,349,687 &rarr; 2,349,893]
raiA	+	[raiA 2,737,154 &rarr; 2,737,495]
artM // artQ // artI // artP	-	[artPIQM 900,866 &larr; 903,734]
yihU // yihT // yihS	-	[yihUTS 4,070,515 &larr; 4,073,571]
gadX // gadA	-	[gadAX 3,664,986 &larr; 3,667,580]
glcA // glcB	-	[glcBA 3,119,597 &larr; 3,123,805]
rpsI	-	[TU0-42202 3,377,815 &larr; 3,378,207]
ecpB // ecpC // ecpD // ecpE	-	[ecpBCDE 304,495 &larr; 310,026]
moaE // moaD // moaC // moaB	+	[moaBCDE 818,055 &rarr; 819,747]
curA	+	[TU0-13272 1,519,027 &rarr; 1,520,064]
yeaL	+	[yeaL 1,874,352 &rarr; 1,874,798]
suhB	+	[suhB 2,663,442 &rarr; 2,664,245]
serA	-	[serA 3,057,178 &larr; 3,058,410]
rmuC	+	[TU0-14051 4,017,333 &rarr; 4,018,760]
ilvX // ilvG // ilvA // ilvD // ilvE // ilvM // ilvL	+	[ilvLXG_1G_2MEDA 3,950,322 &rarr; 3,956,875]
ybjN	+	[ybjN 892,957 &rarr; 893,433]
cspF	+	[TU0-41806 1,641,855 &rarr; 1,642,067]
insI1 // insN	+	
hcr // hcp	-	[hcp-hcr 911,182 &larr; 913,814]
mokB	-	[TU0-13256 1,491,962 &larr; 1,492,129]
ycjW	-	[ycjW 1,382,963 &larr; 1,383,961]
narQ	+	[narQ 2,585,731 &rarr; 2,587,431]
wcaB // wcaA // wzc // wzb // wza	-	[wza-wzb-wzc-wcaAB 2,132,067 &larr; 2,137,243]
ppiC	-	[ppiC 3,959,532 &larr; 3,959,813]
rnpB // garK // garR // garL // garP	-	[garPLRK-rnpB 3,270,216 &larr; 3,274,907]
gluQ // dksA	-	[dksA-yadB 159,186 &larr; 160,604]
bamC	-	[bamC 2,597,831 &larr; 2,598,865]
gmhA	+	[TU0-12846 243,543 &rarr; 244,121]
nanM // nanC	-	[nanCM 4,537,659 &larr; 4,539,501]
ompN	-	[ompN 1,435,760 &larr; 1,436,893]
