Gene,Monomer,Covert_Expression,Li_Expression
maeB,MALIC-NADP-MONOMER,31.0351,60.000000
tktB,TRANSKETOII-MONOMER,11.5294333333,4.000000
nudK,EG12410-MONOMER,58.1181666667,14.000000
acrD,ACRD-MONOMER,3.37376666667,7.000000
dapE,MONOMER0-1981,55.0780666667,90.000000
purC,SAICARSYN-MONOMER,259.634566667,83.000000
dapA,DIHYDRODIPICSYN-MONOMER,463.897466667,350.000000
bcp,EG10108-MONOMER,582.6942,279.000000
hyfA,MONOMER0-152,1.05983333333,1.000000
hyfB,MONOMER0-153,1.05816666667,1.000000
hyfF,MONOMER0-143,2.23883333333,1.000000
hyfG,MONOMER0-150,3.2988,1.000000
hyfH,MONOMER0-144,2.5241,1.000000
hyfI,MONOMER0-151,2.54396666667,2.000000
hyfJ,G7307-MONOMER,1.9358,2.000000
focB,FOCB-MONOMER,8.15753333333,3.000000
uraA,URAA-MONOMER,98.9441333333,97.000000
upp,URACIL-PRIBOSYLTRANS-MONOMER,533.408566667,527.000000
purM,AIRS-MONOMER,94.0817333333,76.000000
purN,GART-MONOMER,144.535966667,79.000000
ppk,PPK-MONOMER,71.2275,40.000000
ppx,PPX-MONOMER,47.7587666667,34.000000
guaA,GMP-SYN-MONOMER,443.313833333,886.000000
guaB,IMP-DEHYDROG-MONOMER,176.4737,792.000000
hisS,HISS-MONOMER,195.511666667,308.000000
ispG,EG10370-MONOMER,195.775333333,197.000000
ndk,NUCLEOSIDE-DIP-KIN-MONOMER,162.051066667,947.000000
pbpC,G7322-MONOMER,3.80933333333,7.000000
sseA,EG11600-MONOMER,75.6371,43.000000
pepB,EG12310-MONOMER,95.4469333333,128.000000
iscA,EG12132-MONOMER,268.230866667,731.000000
iscU,G7324-MONOMER,341.570466667,587.000000
iscS,G7325-MONOMER,247.381766667,620.000000
suhB,EG10983-MONOMER,72.272,406.000000
hcaT,HCAT-MONOMER,5.61336666667,21.000000
hcaE,PHENYLPRODIOXY-MONOMER,6.04636666667,5.000000
hcaF,HCAA2-MONOMER,5.07783333333,2.000000
hcaC,HCAC-MONOMER,4.9668,2.000000
hcaB,PHENPRODIOLDEHYDROG-MONOMER,2.8506,2.000000
hcaD,HCAD-MONOMER,5.40036666667,3.000000
glyA,GLYOHMETRANS-MONOMER,845.399733333,382.000000
hmp,EG10456-MONOMER,20.9592,25.000000
purL,FGAMSYN-MONOMER,160.953766667,70.000000
mltF,EG11373-MONOMER,6.017,17.000000
acpS,HOLO-ACP-SYNTH-MONOMER,84.9897,51.000000
pdxJ,PDXJ-MONOMER,88.1470333333,68.000000
nadB,L-ASPARTATE-OXID-MONOMER,165.2134,119.000000
eamB,EG12445-MONOMER,14.2763333333,9.000000
grcA,EG11784-MONOMER,2328.71593333,173.000000
trxC,RED-THIOREDOXIN2-MONOMER,37.6571666667,63.000000
pssA,PHOSPHASERSYN-MONOMER,76.792,158.000000
kgtP,KGTP-MONOMER,269.145,445.000000
pheA,CHORISMUTPREPHENDEHYDRAT-MONOMER,178.4249,68.000000
tyrA,CHORISMUTPREPHENDEHYDROG-MONOMER,23.4707666667,56.000000
aroF,AROF-MONOMER,25.2653666667,43.000000
nadK,MONOMER0-541,69.5924333333,23.000000
gabD,SUCCSEMIALDDEHYDROG-MONOMER,3.2988,2.000000
gabT,GABATRANSAM-MONOMER,3.44656666667,3.000000
gabP,GABP-MONOMER,1.09503333333,2.000000
nrdE,NRDE-MONOMER,133.947966667,10.000000
nrdF,NRDF-MONOMER,113.6985,8.000000
proW,PROW-MONOMER,17.6368,11.000000
proX,PROX-MONOMER,46.1829666667,9.000000
ygaZ,G7405-MONOMER,99.6149333333,118.000000
ygaH,G7406-MONOMER,110.123933333,110.000000
luxS,EG12712-MONOMER,233.3711,304.000000
gshA,GLUTCYSLIG-MONOMER,127.660733333,158.000000
yqaB,G7408-MONOMER,69.5482,77.000000
mltB,G7410-MONOMER,11.215,35.000000
srlA,G8210-MONOMER,2.04316666667,2.000000
srlE,GUTA-MONOMER,2.63933333333,2.000000
srlB,GUTB-MONOMER,1.54603333333,3.000000
srlD,SORB6PDEHYDROG-MONOMER,5.47273333333,6.000000
gutQ,EG10973-MONOMER,20.2696,28.000000
norV,G7413-MONOMER,3.14026666667,2.000000
norW,EG12450-MONOMER,1.63883333333,1.000000
ascF,ASCF-MONOMER,4.16076666667,4.000000
hycG,HYCG-MONOMER,3.46273333333,4.000000
hycF,HYCF-MONOMER,2.38206666667,2.000000
hycE,HYCELARGE-MONOMER,1.1398,1.000000
hycD,HYCD-MONOMER,0.9077,1.000000
hycB,HYCBSMALL-MONOMER,0.227966666667,1.000000
ygbL,G7419-MONOMER,3.6651,2.000000
surE,EG11817-MONOMER,84.6381333333,131.000000
ispF,EG11816-MONOMER,66.7838333333,148.000000
ispD,G7423-MONOMER,57.2275333333,133.000000
cysC,ADENYLYLSULFKIN-MONOMER,3.84086666667,3.000000
cysN,CYSN-MONOMER,9.04353333333,4.000000
cysD,CYSD-MONOMER,12.6163,2.000000
cysH,PAPSSULFOTRANS-MONOMER,10.029,3.000000
cysI,BETACOMP-MONOMER,8.69746666667,4.000000
cysJ,ALPHACOMP-MONOMER,10.4006666667,2.000000
queD,G7431-MONOMER,17.1584666667,85.000000
eno,ENOLASE-MONOMER,1376.8761,1708.000000
pyrG,CTPSYN-MONOMER,384.692233333,731.000000
mazG,EG10572-MONOMER,31.8497,41.000000
relA,RELA-MONOMER,68.6039666667,64.000000
gudD,GLUCARDEHYDRA-MONOMER,3.15453333333,6.000000
gudX,G7446-MONOMER,2.701,2.000000
gudP,B2789-MONOMER,1.1764,1.000000
queF,G7452-MONOMER,61.5830666667,72.000000
sdaC,SDAC-MONOMER,231.2174,1044.000000
sdaB,LSERINEDEAM2-MONOMER,91.1488333333,560.000000
fucO,LACTALDREDUCT-MONOMER,4.63213333333,4.000000
fucA,FUCPALDOL-MONOMER,2.9838,1.000000
fucP,FUCP-MONOMER,1.07673333333,1.000000
fucI,FUCISOM-MONOMER,2.7,3.000000
fucK,FUCULOKIN-MONOMER,6.73256666667,5.000000
csdA,G7454-MONOMER,40.3212,44.000000
mltA,G7457-MONOMER,18.8556,97.000000
amiC,G7458-MONOMER,38.7658,68.000000
argA,N-ACETYLTRANSFER-MONOMER,6.96156666667,5.000000
thyA,THYMIDYLATESYN-MONOMER,94.4974666667,162.000000
lplT,EG12455-MONOMER,15.8852,29.000000
aas,AAS-MONOMER,20.8116666667,26.000000
lysA,DIAMINOPIMDECARB-MONOMER,11.9338333333,66.000000
araE,ARAE-MONOMER,4.95163333333,15.000000
xdhA,G7485-MONOMER,2.8403,1.000000
xdhB,G7486-MONOMER,2.25606666667,1.000000
xdhC,G7487-MONOMER,2.61263333333,2.000000
yqeA,G7493-MONOMER,6.61393333333,4.000000
mocA,G7496-MONOMER,8.02236666667,3.000000
xanQ,YGFO-MONOMER,4.19433333333,1.000000
guaD,G7502-MONOMER,7.99493333333,4.000000
idi,IPPISOM-MONOMER,13.6873333333,6.000000
lysS,LYSS-MONOMER,261.498933333,620.000000
dsbC,DSBC-MONOMER,118.975066667,88.000000
fldB,FLAVODOXIN2-MONOMER,121.3041,130.000000
bglA,G495-MONOMER,72.1643333333,101.000000
gcvP,GCVP-MONOMER,72.3304333333,24.000000
gcvH,GCVH-MONOMER,166.7287,58.000000
gcvT,GCVT-MONOMER,96.7619333333,33.000000
ubiH,OCTAPRENYL-METHOXYPHENOL-OH-MONOMER,61.1764666667,96.000000
fau,EG11158-MONOMER,59.0293,30.000000
serA,PGLYCDEHYDROG-MONOMER,398.3981,203.000000
rpiA,RIB5PISOMA-MONOMER,273.169933333,372.000000
scpA,METHYLMALONYL-COA-MUT-MONOMER,3.06866666667,1.000000
scpB,G7516-MONOMER,3.43083333333,1.000000
scpC,G7517-MONOMER,3.00136666667,1.000000
argO,YGGA-MONOMER,22.9449,28.000000
fbaA,FRUCTBISALD-CLASSII-MONOMER,794.292633333,887.000000
pgk,PGK,755.1675,749.000000
epd,ERYTH4PDEHYDROG-MONOMER,583.6021,207.000000
yggF,EG11245-MONOMER,1.0804,2.000000
tktA,TRANSKETOI-MONOMER,250.272533333,527.000000
speB,AGMATIN-MONOMER,97.1801,331.000000
speA,ARGDECARBOXBIO-MONOMER,138.666,490.000000
metK,S-ADENMETSYN-MONOMER,167.5889,890.000000
galP,GALP-MONOMER,31.2306333333,26.000000
gshB,GLUTATHIONE-SYN-MONOMER,109.454366667,124.000000
rdgB,G7530-MONOMER,46.4389,82.000000
ansB,ANSB-MONOMER,30.2444333333,7.000000
mltC,G7533-MONOMER,47.2378,46.000000
nupG,NUPG-MONOMER,11.8317333333,21.000000
speC,ORNDECARBOX-BIO-MONOMER,14.3679333333,39.000000
glcA,B2975-MONOMER,1.91516666667,3.000000
glcB,MALSYNG-MONOMER,17.9095666667,10.000000
glcD,G7545-MONOMER,1.29363333333,1.000000
pitB,PITB-MONOMER,0.933666666667,3.000000
gss,GSP-MONOMER,84.8443666667,53.000000
hybC,HYBC-MONOMER,17.8414333333,35.000000
hybB,EG11800-MONOMER,7.25363333333,15.000000
hybA,HYBA-MONOMER,18.0981333333,15.000000
hybO,MONOMER0-145,40.1042666667,18.000000
exbD,EG10272-MONOMER,643.997066667,133.000000
exbB,EG10271-MONOMER,986.497666667,132.000000
metC,CYSTATHIONINE-BETA-LYASE-MONOMER,29.7601333333,23.000000
dkgA,MONOMER0-148,18.4706666667,6.000000
plsC,1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER,68.4311,97.000000
mdaB,EG12656-MONOMER,75.1446,76.000000
ygiN,EG12657-MONOMER,269.9551,239.000000
nudF,EG12633-MONOMER,108.306566667,47.000000
tolC,EG11009-MONOMER,345.669166667,334.000000
zupT,EG11167-MONOMER,80.3251333333,41.000000
ribB,DIOHBUTANONEPSYN-MONOMER,177.882433333,134.000000
rfaE,G7590-MONOMER,29.8364333333,157.000000
bacA,EG11665-MONOMER,35.2363666667,112.000000
folB,H2NEOPTERINALDOL-MONOMER,41.0768333333,61.000000
ygiH,EG11674-MONOMER,40.6368,29.000000
ttdB,TTDB-MONOMER,1.16346666667,1.000000
ttdT,YGJE-MONOMER,3.2449,1.000000
sstT,YGJU-MONOMER,195.2151,139.000000
uxaA,ALTRODEHYDRAT-MONOMER,8.48156666667,7.000000
uxaC,UXAC-MONOMER,16.1547666667,7.000000
exuT,EXUT-MONOMER,5.47346666667,4.000000
tdcE,KETOBUTFORMLY-INACT-MONOMER,2.41226666667,5.000000
tdcD,PROPKIN-MONOMER,1.33103333333,4.000000
tdcC,TDCC-MONOMER,5.3092,8.000000
tdcB,THREDEHYDCAT-MONOMER,0.520133333333,1.000000
garK,GKI-MONOMER,7.24196666667,6.000000
garR,TSA-REDUCT-MONOMER,4.5738,7.000000
garL,KDGALDOL-MONOMER,2.67703333333,1.000000
garD,GALACTARDEHYDRA-MONOMER,3.7261,3.000000
kbaZ,G7631-MONOMER,2.15996666667,1.000000
kbaY,TAGAALDOL1-MONOMER,1.43363333333,1.000000
mtr,MTR-MONOMER,12.2802333333,12.000000
argG,ARGSUCCINSYN-MONOMER,29.5752,42.000000
glmM,PHOSGLUCOSAMINEMUT-MONOMER,179.034,272.000000
folP,H2PTEROATESYNTH-MONOMER,59.7847,118.000000
dacB,EG10202-MONOMER,18.6153666667,36.000000
ispB,OPPSYN-MONOMER,186.684866667,206.000000
murA,UDPNACETYLGLUCOSAMENOLPYRTRANS-MONOMER,109.4272,296.000000
yrbG,YRBG-MONOMER,35.7460666667,51.000000
kdsD,G7662-MONOMER,98.8464333333,103.000000
kdsC,G7663-MONOMER,96.0222,115.000000
lptC,G7664-MONOMER,168.481933333,129.000000
lptA,YHBN-MONOMER,232.530966667,153.000000
lptB,YHBG-MONOMER,141.359,143.000000
gltB,GLUSYNLARGE-MONOMER,243.676466667,95.000000
gltD,GLUSYNSMALL-MONOMER,292.419066667,93.000000
nanK,NANK-MONOMER,4.14346666667,6.000000
nanE,NANE-MONOMER,2.073,7.000000
nanT,NANT-MONOMER,1.19606666667,2.000000
nanA,ACNEULY-MONOMER,5.69856666667,9.000000
mdh,MALATE-DEHASE-MONOMER,364.125666667,354.000000
accB,BCCP-MONOMER,420.704,1225.000000
accC,BIOTIN-CARBOXYL-MONOMER,248.2875,1138.000000
panF,PANF-MONOMER,14.8058333333,72.000000
acrE,EG10266-MONOMER,1.31196666667,1.000000
acrF,ACRF-MONOMER,2.7114,4.000000
aroE,AROE-MONOMER,31.4509333333,141.000000
fmt,EG11268-MONOMER,148.206366667,234.000000
trkA,TRKA-MONOMER,34.7903666667,81.000000
kefB,KEFB-MONOMER,16.2293333333,13.000000
argD,ACETYLORNTRANSAM-MONOMER,13.1107666667,44.000000
pabA,PABASYN-COMPII-MONOMER,5.8718,35.000000
nirB,NIRB-MONOMER,78.7601333333,3.000000
nirD,NIRD-MONOMER,16.8099666667,2.000000
nirC,NIRC-MONOMER,5.55796666667,12.000000
cysG,SIROHEMESYN-MONOMER,22.7268666667,52.000000
frlB,G7723-MONOMER,1.86976666667,3.000000
frlD,G7726-MONOMER,4.22486666667,6.000000
yhfW,G7732-MONOMER,1.24296666667,1.000000
trpS,TRPS-MONOMER,153.7971,319.000000
gph,GPH-MONOMER,108.582433333,171.000000
rpe,RIBULP3EPIM-MONOMER,108.334233333,154.000000
aroB,AROB-MONOMER,156.8689,443.000000
aroK,AROK-MONOMER,189.403666667,744.000000
mrcA,EG10748-MONOMER,9.88223333333,63.000000
nudE,G7740-MONOMER,65.041,128.000000
pck,PEPCARBOXYKIN-MONOMER,183.181833333,234.000000
feoB,FEOB-MONOMER,618.824833333,30.000000
bioH,EG10122-MONOMER,22.4869333333,36.000000
gntT,GNTT-MONOMER,7.06613333333,14.000000
malQ,AMYLOMALT-MONOMER,12.3846,24.000000
malP,MALDEXPHOSPHORYL-MONOMER,24.6993,31.000000
glpE,EG10395-MONOMER,72.4853,85.000000
glpD,AERGLYC3PDEHYDROG-MONOMER,1382.25236667,9.000000
glgP,GLYCOPHOSPHORYL-MONOMER,56.2148666667,36.000000
glgA,GLYCOGENSYN-MONOMER,51.2871,44.000000
glgC,GLUC1PADENYLTRANS-MONOMER,92.5384,39.000000
glgX,EG10381-MONOMER,49.6062,30.000000
glgB,GLYCOGEN-BRANCH-MONOMER,90.6113,45.000000
asd,ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER,458.573066667,263.000000
gntU,GNTU-MONOMER,5.81193333333,7.000000
gntK,GLUCONOKINII-MONOMER,8.77426666667,9.000000
ggt,EG10374-MONOMER,4.51673333333,2.000000
ugpQ,GLYCPDIESTER-CYTO-MONOMER,26.8229,28.000000
ugpC,UGPC-MONOMER,16.5851666667,12.000000
ugpE,UGPE-MONOMER,3.27626666667,4.000000
ugpA,UGPA-MONOMER,1.3721,2.000000
ugpB,UGPB-MONOMER,5.2819,3.000000
livF,LIVF-MONOMER,28.944,38.000000
livG,LIVG-MONOMER,28.1163,31.000000
livM,LIVM-MONOMER,18.7563666667,37.000000
livH,LIVH-MONOMER,18.1643666667,39.000000
livK,LIVK-MONOMER,73.7817666667,43.000000
livJ,LIVJ-MONOMER,48.3710333333,62.000000
zntA,YHHO-MONOMER,15.9228,24.000000
acpT,EG12221-MONOMER,32.7754333333,51.000000
nikA,NIKA-MONOMER,44.6024333333,2.000000
nikB,NIKB-MONOMER,9.95176666667,2.000000
nikC,NIKC-MONOMER,4.3513,2.000000
nikD,NIKD-MONOMER,5.24433333333,2.000000
nikE,NIKE-MONOMER,4.19606666667,3.000000
pitA,PITA-MONOMER,63.4141333333,499.000000
dtpB,YHIP-MONOMER,9.53703333333,8.000000
gor,GLUTATHIONE-REDUCT-NADPH-MONOMER,82.0128333333,139.000000
arsB,ARSF-MONOMER,3.5587,7.000000
arsC,EG12237-MONOMER,6.969,8.000000
treF,TREHALACYTO-MONOMER,7.7657,8.000000
kdgK,DEOXYGLUCONOKIN-MONOMER,51.2364,75.000000
dctA,DCTA-MONOMER,16.5344333333,66.000000
dppF,DPPF-MONOMER,77.5803333333,45.000000
dppD,DPPD-MONOMER,77.7862,55.000000
dppC,DPPC-MONOMER,34.1773,55.000000
dppB,DPPB-MONOMER,36.4051666667,56.000000
dppA,DPPA-MONOMER,580.0202,124.000000
eptB,EG12267-MONOMER,15.3127666667,17.000000
bisC,EG10124-MONOMER,23.8275666667,30.000000
ghrB,MONOMER-43,175.949033333,73.000000
glyS,GLYS-MONOMER,265.541233333,657.000000
glyQ,GLYQ-MONOMER,317.329866667,662.000000
xylB,XYLULOKIN-MONOMER,4.94323333333,8.000000
xylA,XYLISOM-MONOMER,3.8966,8.000000
xylF,XYLF-MONOMER,1.13476666667,1.000000
xylG,XYLG-MONOMER,2.96093333333,1.000000
xylH,XYLH-MONOMER,3.3397,3.000000
malS,ALPHA-AMYL-PERI-MONOMER,5.8547,3.000000
avtA,VALINE-PYRUVATE-AMINOTRANSFER-MONOMER,128.463066667,117.000000
yiaK,EG12279-MONOMER,1.37683333333,1.000000
lyxK,LYXK-MONOMER,1.34356666667,2.000000
sgbH,EG12285-MONOMER,1.0811,1.000000
sgbE,EG12287-MONOMER,3.75663333333,3.000000
aldB,ALDDEHYDROGB-MONOMER,0.8498,1.000000
selA,EG10941-MONOMER,79.0746666667,62.000000
mtlA,MTLA-MONOMER,21.7391,40.000000
mtlD,MANNPDEHYDROG-MONOMER,40.8121,65.000000
lldP,LCTP-MONOMER,3.5768,11.000000
lldD,L-LACTDEHYDROGFMN-MONOMER,11.6679,18.000000
cysE,SERINE-O-ACETTRAN-MONOMER,79.7422666667,93.000000
gpsA,GLYC3PDEHYDROGBIOSYN-MONOMER,222.347633333,287.000000
grxC,GRXC-MONOMER,646.467666667,474.000000
gpmM,PGMI-MONOMER,428.820266667,210.000000
tdh,THREODEHYD-MONOMER,137.4927,258.000000
kbl,AKBLIG-MONOMER,106.246933333,213.000000
rfaD,EG10838-MONOMER,317.547766667,380.000000
waaF,EG12210-MONOMER,126.002833333,182.000000
waaC,EG11189-MONOMER,59.5121333333,83.000000
waaL,EG11424-MONOMER,58.3547666667,47.000000
waaZ,EG11426-MONOMER,12.1267666667,45.000000
waaY,EG11425-MONOMER,23.7902333333,62.000000
waaJ,EG11353-MONOMER,21.7243,66.000000
waaI,EG11352-MONOMER,32.1090333333,62.000000
waaB,EG11351-MONOMER,30.0044666667,59.000000
waaS,EG11350-MONOMER,18.3339666667,49.000000
waaP,EG11340-MONOMER,44.1076,60.000000
waaG,EG11339-MONOMER,45.0184333333,59.000000
waaQ,EG11341-MONOMER,43.8248,70.000000
waaA,KDOTRANS-MONOMER,23.6086666667,93.000000
coaD,PANTEPADENYLYLTRAN-MONOMER,17.7182,88.000000
dfp,EG10004-MONOMER,95.3067333333,134.000000
dut,DUTP-PYROP-MONOMER,117.8011,325.000000
pyrE,OROPRIBTRANS-MONOMER,8.64033333333,23.000000
gmk,GUANYL-KIN-MONOMER,317.4884,382.000000
spoT,SPOT-MONOMER,137.333033333,294.000000
gltS,GLTS-MONOMER,13.4143666667,40.000000
xanP,YICE-MONOMER,33.3244,59.000000
ade,EG11692-MONOMER,11.2801333333,28.000000
uhpT,UHPT-MONOMER,32.918,1.000000
ilvN,SMALLILVN-MONOMER,34.2871,44.000000
ilvB,LARGEILVB-MONOMER,47.3622666667,57.000000
yidK,YIDK-MONOMER,0.916066666667,1.000000
dgoT,YIDT-MONOMER,1.48713333333,2.000000
dgoK,DEHYDDEOXGALACTKIN-MONOMER,6.1933,6.000000
tnaA,TRYPTOPHAN-MONOMER,6.7412,2.000000
purP,EG11724-MONOMER,91.5536,258.000000
bglF,BGLF-MONOMER,16.6603,1.000000
pstB,PSTB-MONOMER,67.5715333333,106.000000
pstA,PSTA-MONOMER,14.5972333333,73.000000
pstC,PSTC-MONOMER,11.4084666667,76.000000
pstS,PSTS-MONOMER,17.9389666667,94.000000
glmS,L-GLN-FRUCT-6-P-AMINOTRANS-MONOMER,234.834033333,475.000000
glmU,NAG1P-URIDYLTRANS-MONOMER,213.972233333,385.000000
atpC,ATPC-MONOMER,1148.81696667,2193.000000
atpD,ATPD-MONOMER,1077.98263333,2177.000000
atpG,ATPG-MONOMER,1290.57,1914.000000
atpA,ATPA-MONOMER,1317.79513333,2724.000000
atpH,ATPH-MONOMER,1079.193,2938.000000
atpF,ATPF-MONOMER,1523.9648,3109.000000
atpE,ATPE-MONOMER,2025.6665,4114.000000
atpB,ATPB-MONOMER,654.004,1695.000000
atpI,EG10106-MONOMER,188.6743,764.000000
asnA,ASNSYNA-MONOMER,325.8741,216.000000
kup,KUP-MONOMER,11.8011333333,51.000000
rbsD,EG10817-MONOMER,115.558866667,320.000000
rbsA,RBSA-MONOMER,32.7012,52.000000
rbsC,RBSC-MONOMER,37.0340666667,57.000000
rbsB,RBSB-MONOMER,160.645833333,112.000000
rbsK,RIBOKIN-MONOMER,45.5072333333,69.000000
ilvE,BRANCHED-CHAINAMINOTRANSFER-MONOMER,65.3009,62.000000
ilvD,DIHYDROXYACIDDEHYDRAT-MONOMER,33.9329333333,46.000000
ilvA,THREDEHYDSYN-MONOMER,19.4540333333,37.000000
ilvC,KETOLREDUCTOISOM-MONOMER,70.3887666667,28.000000
gpp,PPPGPPHYDRO-MONOMER,100.0433,89.000000
trxA,RED-THIOREDOXIN-MONOMER,1137.88543333,1000.000000
rfe,GLCNACPTRANS-MONOMER,109.253233333,241.000000
wzzE,EG11295-MONOMER,60.1958,192.000000
rffE,UDPGLCNACEPIM-MONOMER,53.3721666667,167.000000
rffD,UDPMANNACADEHYDROG-MONOMER,60.362,161.000000
rffG,DTDPGLUCDEHYDRAT2-MONOMER,86.9564666667,128.000000
rffH,DTDPGLUCOSEPP2-MONOMER,58.9286,117.000000
rffC,TDPFUCACTRANS-MONOMER,40.4953,73.000000
rffA,RFFTRANS-MONOMER,52.482,87.000000
wzxE,EG11486-MONOMER,29.0057,67.000000
wzyE,FUC4NACTRANS-MONOMER,13.9562333333,38.000000
rffM,UDPMANACATRANS-MONOMER,29.2190333333,60.000000
hemX,HEMX-MONOMER,97.1869333333,100.000000
hemD,UROGENIIISYN-MONOMER,125.777233333,79.000000
hemC,OHMETHYLBILANESYN-MONOMER,127.915833333,105.000000
cyaA,ADENYLATECYC-MONOMER,243.704533333,152.000000
cyaY,EG11653-MONOMER,35.9204666667,138.000000
dapF,DIAMINOPIMEPIM-MONOMER,106.303666667,182.000000
corA,CORA-MONOMER,35.2895666667,171.000000
pldA,MONOMER0-341,31.1291,80.000000
rhtC,RHTC-MONOMER,40.9297,27.000000
rhtB,RHTB-MONOMER,22.3430333333,8.000000
pldB,EG10739-MONOMER,65.1565666667,73.000000
yigL,EG11470-MONOMER,43.5075,48.000000
metE,HOMOCYSMET-MONOMER,30.5157,19.000000
udp,URPHOS-MONOMER,196.8413,86.000000
ubiE,2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER,142.959833333,225.000000
ubiB,2-OCTAPRENYLPHENOL-HYDROX-MONOMER,61.0441,71.000000
ubiD,EG11396-MONOMER,109.042433333,182.000000
fre,FMNREDUCT-MONOMER,102.741066667,200.000000
fadA,FADA-MONOMER,4.3918,3.000000
fadB,FADB-MONOMER,1.68386666667,2.000000
trkH,TRKH-MONOMER,30.8428,65.000000
hemG,PROTOPORGENOXI-MONOMER,51.7011333333,64.000000
mobB,EG11828-MONOMER,19.2715666667,21.000000
mobA,EG11829-MONOMER,30.7261666667,22.000000
dsbA,DISULFOXRED-MONOMER,160.1055,364.000000
hemN,HEMN-MONOMER,54.7386666667,77.000000
glnA,GLUTAMINESYN-MONOMER,628.984466667,88.000000
yihU,EG11847-MONOMER,1.99643333333,1.000000
fdoI,FDOI-MONOMER,37.8538333333,93.000000
fdoH,FDOH-MONOMER,20.8220333333,67.000000
fdoG,FDOG-MONOMER,74.6588666667,137.000000
rhaB,RHAMNULOKIN-MONOMER,1.16786666667,1.000000
rhaT,RHAT-MONOMER,2.12276666667,2.000000
sodA,SUPEROX-DISMUTMN-MONOMER,2910.76886667,1155.000000
kdgT,KDGT-MONOMER,6.76886666667,7.000000
fieF,YIIP-MONOMER,66.4673333333,84.000000
pfkA,6PFK-1-MONOMER,619.3728,189.000000
sbp,SBP-MONOMER,7.01176666667,3.000000
cdh,CDPDIGLYPYPHOSPHA-MONOMER,23.1330333333,40.000000
tpiA,TPI-MONOMER,746.761333333,398.000000
fpr,FLAVONADPREDUCT-MONOMER,141.351066667,40.000000
glpX,EG11517-MONOMER,40.0488,45.000000
glpK,GLYCEROL-KIN-MONOMER,181.670733333,13.000000
glpF,GLPF-MONOMER,145.739333333,7.000000
menA,DMK-MONOMER,17.9460666667,81.000000
metB,O-SUCCHOMOSERLYASE-MONOMER,30.5214333333,55.000000
metL,ASPKINIIHOMOSERDEHYDROGII-MONOMER,24.0282,71.000000
metF,METHYLENETHFREDUCT-MONOMER,10.184,12.000000
katG,HYDROPEROXIDI-MONOMER,154.385666667,126.000000
gldA,GLYCDEH-MONOMER,42.9035,7.000000
fsaB,EG11905-MONOMER,4.71946666667,2.000000
pflD,EG11910-MONOMER,3.5559,2.000000
pflC,EG11911-MONOMER,2.6716,3.000000
ppc,PEPCARBOX-MONOMER,340.372266667,109.000000
argE,ACETYLORNDEACET-MONOMER,49.4811,20.000000
argC,N-ACETYLGLUTPREDUCT-MONOMER,10.6009666667,10.000000
argB,ACETYLGLUTKIN-MONOMER,13.2625,12.000000
argH,ARGSUCCINLYA-MONOMER,11.5921333333,20.000000
sthA,UDHA-MONOMER,169.983166667,75.000000
btuB,EG10126-MONOMER,73.8542,126.000000
murI,GLUTRACE-MONOMER,73.6250666667,105.000000
murB,UDPNACETYLMURAMATEDEHYDROG-MONOMER,54.5369333333,102.000000
coaA,PANTOTHENATE-KIN-MONOMER,51.5245333333,66.000000
thiH,THIH-MONOMER,248.036133333,2.000000
thiG,THIG-MONOMER,211.8123,3.000000
thiF,THIF-MONOMER,222.503266667,2.000000
thiE,THIE-MONOMER,215.1055,3.000000
thiC,THIC-MONOMER,377.480033333,4.000000
nudC,EG11702-MONOMER,39.6930666667,39.000000
hemE,UROGENDECARBOX-MONOMER,78.2940666667,120.000000
purD,GLYCRIBONUCSYN-MONOMER,257.254533333,56.000000
purH,AICARTRANSIMPCYCLO-CPLX,210.327566667,71.000000
metA,HOMSUCTRAN-MONOMER,8.17776666667,22.000000
aceB,MALATE-SYNTHASE,194.6844,73.000000
aceA,ISOCIT-LYASE-MONOMER,161.8173,64.000000
metH,HOMOCYSMETB12-MONOMER,42.4319333333,39.000000
lysC,ASPKINIII-MONOMER,54.6707333333,42.000000
pgi,PGLUCISOM,359.505566667,305.000000
xylE,XYLE-MONOMER,4.58623333333,3.000000
malG,MALG-MONOMER,2.20186666667,4.000000
malF,MALF-MONOMER,4.02576666667,6.000000
malE,MALE-MONOMER,11.4023333333,21.000000
malK,MALK-MONOMER,3.02513333333,2.000000
lamB,EG10528-MONOMER,6.0756,6.000000
ubiC,CHORPYRLY-MONOMER,84.7584,76.000000
ubiA,4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER,35.5628333333,84.000000
plsB,GLYCEROL-3-P-ACYLTRANSFER-MONOMER,63.0134666667,143.000000
dgkA,DIACYLGLYKIN-MONOMER,32.9596333333,81.000000
alr,ALARACEBIOSYN-MONOMER,53.0695666667,91.000000
tyrB,TYRB-MONOMER,96.0148666667,61.000000
aphA,APHA-MONOMER,33.3433333333,12.000000
actP,YJCG-MONOMER,2.22036666667,5.000000
acs,ACS-MONOMER,6.48223333333,6.000000
nrfA,CYTOCHROMEC552-MONOMER,6.5871,2.000000
nrfB,CYTOCHROMEC-MONOMER,3.7228,2.000000
