Matches	Direction
EG11164 // EG11009 // EG11165	+
EG11164 // EG11009 // EG11165	+
EG11164 // EG11009 // EG11165	+
EG11164 // EG11009 // EG11165	+
EG12429 // EG10439	-
EG11012	+
EG11013	+
EG11013	+
EG11013	+
EG11013	+
EG11013	+
G0-10473 // G7917	-
EG12195 // EG11814 // EG11815	+
G0-9621	+
EG12615	-
G6514	-
G6515	+
G7023 // G7022	-
G0-8894	-
EG11015	-
EG11015	-
G0-8893	+
G0-8906	-
G6877	+
G6660	-
G6859	+
EG11017	-
EG12127 // EG11402	-
EG12245	+
EG12202	-
EG12202	-
EG12202	-
EG12202	-
EG11018	+
G7118	+
EG11019	+
EG11020	+
EG11022	-
EG11779 // EG12443	-
G7199	+
G7327	-
EG11888	+
EG11026 // EG11025 // EG11024	-
EG11274	-
EG11026 // EG11025 // EG11028 // EG11024 // EG11027 // EG11274	-
EG11029	+
EG11030	-
EG30105	+
G7422	-
EG11031	+
EG11031	+
EG11031	+
EG11032	-
EG11887	+
G6991 // G6990	-
EG11171	-
EG11281 // EG10595 // EG11757 // EG10438 // EG10437 // EG10435 // EG10436 // EG11363	+
EG11262	+
EG11034	+
EG11034	+
EG11035	-
EG11035	-
G6675	-
EG12393 // EG11169 // EG11168	+
EG12694	-
EG11036	-
EG11036	-
EG11038	+
EG12216	-
EG12876	-
EG13139	-
EG13139	-
EG11040	+
EG11041	+
EG11041	+
EG11042	+
EG11043 // G6879	-
EG11043 // G6879	-
EG30108 // EG30106 // EG11016	-
EG30108 // EG11016	-
G7507	+
EG11370 // EG11369	+
EG11396	+
EG11476 // EG11473 // EG11474	+
EG11476 // EG11473 // EG11474	+
G6365	+
EG11143	+
G7582	+
G7650 // G7651	-
G7650 // G7651	-
G7652 // G7653	+
EG11044	-
EG12133	-
EG12133	-
EG11701 // EG11418	-
EG11045	+
G7091	-
EG11050 // EG11048 // EG11047 // EG11046 // EG11049	-
EG11050 // EG11048 // EG11047 // EG11046 // EG11049	-
EG11052 // EG11051 // EG11053	-
EG11052	-
EG11054	-
EG11658 // EG11055 // G6866	-
G6867	-
G7858 // EG12495 // EG12494 // G7856 // G7859 // G7860	+
G7855	-
G7854	-
EG11817 // EG10689	-
EG10634	-
EG11057 // EG11056	+
EG11058	+
EG10359 // G0-10580	-
EG11332 // EG12129	-
EG10139 // G6092	+
EG10139 // G6092	+
EG10454 // EG11059 // EG10216	-
EG11060	+
EG11390	+
EG11390	+
EG11390	+
EG12231	-
G7031	+
EG11246	-
G6699	-
G6334	-
EG11061	-
EG11062	+
EG11062	+
EG11062	+
EG11063	-
EG11064	+
EG11064	+
EG11140 // EG11063	-
EG11065	-
EG11065	-
EG12734 // G81	-
EG12734 // G81	-
EG11066 // EG20248	+
EG20249	+
EG11067	-
EG11067	-
EG30114 // EG30110 // EG30113 // EG30056	+
EG30111 // EG30112	+
G6390 // G6389	+
G6938	-
EG10520	+
EG10520	+
EG11984 // EG11983 // EG11985	-
EG10161 // G7097 // EG11787 // EG11788 // EG10162 // G7100 // EG11790 // G7099 // G7102 // EG11789 // G7098 // G7101	-
G7096 // G7095 // G7094	-
EG12274	+
EG12703 // EG11540	-
G7104 // G7107 // G7103 // G7106 // G7105	-
G7107 // G7106 // G7105	-
G7090	-
EG11194	+
G7502 // G7501 // G7503	+
G85 // EG13159	-
EG13159	-
EG13159	-
EG13159	-
EG11146	-
EG11146	-
G7485 // G7487 // G7486	+
G7485 // G7487 // G7486	+
EG11071	-
EG11071 // EG11070 // EG10830	-
EG11072	+
G6236 // EG11098 // G6237 // EG10508	-
EG11073	+
EG11074 // EG11075	-
EG11076	-
EG12276 // EG20252 // EG12275 // EG20253	+
EG20253	+
G6144	-
EG10011	-
G8202	-
EG11555	-
EG11566	+
G6082	-
G6081	+
EG11571	+
EG12611 // EG12610	+
G0-16721	-
EG11089 // EG10963 // EG10962	-
EG12314	-
EG12315	-
EG12605	+
EG11678	-
EG11748	+
EG11749	+
EG12320 // EG12321	+
EG12322	+
EG12327 // EG11678 // EG12325 // EG12326	-
EG12328	-
EG11972 // EG11973	-
EG11972 // EG11973	-
EG11972 // EG11973	-
EG12138	-
EG12336	-
EG12337	-
G6097 // G372	-
EG12354 // EG12137 // G6098	+
G6095	+
EG11649	-
EG11651 // EG11650	+
G0-10431	+
G6107	+
G6111	+
G6117 // G6116 // G6118	+
G6100	+
G6101	+
G6102	-
G6103	-
G6123 // G6122 // G6125 // G6121 // G6124 // G6120 // G0-10432 // G6126	-
G6127	-
EG12338 // EG12339 // G0-10433	-
G6141 // G6140	+
G6143 // G6142	+
G6147	+
G6148	-
G6150 // G6149	-
G6151	-
G6153	-
G6158	+
EG11236	+
EG11236	+
G6181	-
G6182	-
G6183 // G6185 // G6184 // G6186	+
G6184	+
G0-10550	+
G6188 // G6189	+
G6190	+
G6191	+
G6192	+
G6193	-
G6194	+
EG11093 // EG10083	+
G6230	+
G6207	+
G6210	-
G6215	-
G6216	-
G6222	+
G6214	-
G6228	-
G6228	-
G6229	+
EG10940 // EG10938 // EG11096	+
EG11097	+
EG12182	-
EG12183 // EG12182	-
EG12874	-
G6236	-
G6240	+
G6241	-
EG11099	+
EG10834 // EG11100	+
EG13217	-
EG12454	-
EG12623	-
EG12843	+
G6258	-
G6259	+
G6243	+
G6250	+
G6251	-
G6270 // EG11657	+
EG11768	-
G6268	-
G6283 // G6282	+
EG12448	-
EG12708	-
G6300	+
G6301 // G6302	+
G6306 // G6303 // G6305 // G0-10435 // G6304	+
G6307	+
G6313	-
G6314	+
G6316	-
G0-10438	+
G6324	-
G6323	-
EG12692	-
G6325	-
G6326	-
G6329	+
G6330	-
G6331	-
G6332	-
G6335	+
EG11592	-
EG11592 // EG11591	-
EG11594	-
EG12851	+
EG12208	+
G6351	-
G6353 // G6352	+
G6354	-
G6355 // G6356	+
G6361 // EG10168	-
G6363 // G6362	-
G6363 // G6362 // G6361 // EG10168	-
EG11521	+
EG11524	+
EG11775	-
EG11776	-
EG11778	-
G6377	+
G6376 // EG11523	+
G6374	+
G0-10440	+
EG10736 // EG11108	+
EG10736 // EG11108	+
EG11010 // EG11007 // EG11011 // EG11110	+
EG11010 // EG11007 // EG11011 // EG11110	+
EG12359	-
G6383 // G6381 // G6380 // G6382 // G6379	+
G6383 // G6381 // G6380 // G6382 // G6379	+
G6387 // G6386 // G6385	-
G6394	-
EG12395 // G0-10441	+
EG11239	-
EG11238	-
EG12875	-
G6398	-
G6399	+
G6400	+
G6401	+
G6402	-
G6403	+
G6404	+
G6405 // G6407 // G6406	-
G6408	+
EG11579	-
EG11580	+
EG12421	-
EG12422	-
G6416	+
G6417	-
G6418	-
G6423	+
G6424	-
G6425	-
G6413	-
G6426 // G6427	-
EG10852 // G6447 // EG12842 // EG11261	+
G6459	+
G6439	-
G6441	-
G6443 // G6442	-
G6444	+
G6445	-
G6446	+
G6447	+
G6449 // G6448	+
G6450	-
G6451 // G6452	+
G6453	-
G6460	-
EG11241	-
EG11242	+
G6471 // EG12375 // EG10613 // EG11409	+
EG12702	+
G6470	+
G6466	+
G6467	-
G6468	-
G6469	+
EG10519 // G6472	+
EG12166	-
G6473	+
G6487	-
G6493	-
EG11113	-
EG12196	+
G6496 // G6495	-
G6513	-
G6494	+
G6498	-
G6499	+
G6502	+
G6532	+
G6540 // G6541	+
G6542	+
EG11116	+
EG11117	-
EG10890 // EG11119	+
EG10890 // EG11119	+
EG11438	-
EG11537	+
EG11820	-
EG11820 // G6554	-
EG12689	+
G6563	+
EG12444	+
G6569	-
G6570	+
G6572	-
EG11516	-
G6609	+
G0-10444	+
G6614	+
G6616	+
G6617	+
G6618	+
G6623	-
G6629	-
G6601	-
G6625	+
G6604	+
G6606 // G6605 // G6604 // G6607	+
EG11342	+
EG11404	-
EG11533	+
EG12119	-
EG12404	-
EG12405	+
EG11251 // G6630 // EG10518	+
G6631	+
EG11121	-
EG11123 // EG11122	-
EG11125	-
EG11127	-
EG11126 // EG11125 // EG11127	-
EG11607	-
EG11759 // EG10130	-
EG12868	-
G6637 // EG12691 // EG11128 // EG10809	+
G6638	-
G6634 // G6636 // G6635	+
G6640	-
G0-8891	+
G6638 // G0-10591	-
G6641	-
G6661	+
G6655 // G6652 // G6651 // G6657 // G0-10445 // G6656 // G6650 // G6649 // G6648 // G6654 // G6647 // G6653	+
G6658	-
G6659 // EG12870	+
EG11042 // G6659 // EG12870	+
G6663	-
G6662 // G0-10446 // G6663 // G0-10645	-
G0-10448 // G6679	-
G6672	+
G6673	-
G6685 // G6681 // G6684 // G6683 // G6682 // G6686	+
G6722	+
EG11310	+
G6705 // G6703 // G6704	+
G0-10450	+
G6701	-
G6700 // G6701	-
G6700 // G6701	-
EG11219	+
EG11526	+
EG12110	+
EG12865	+
G6737	-
G6738	+
G6741	-
G6742	+
G6744	-
G6750	+
G6751 // G6755 // G6752 // G6754 // G6753	+
G6751 // G6755 // G6752 // G6754 // G6753	+
G6751 // G6755 // G6752 // G6754 // G6753	+
G6757	+
EG11742 // EG11743	-
EG11825	-
EG12713	-
G6769	-
G6771 // G6773 // G6772	-
G6774	-
G6785	-
EG11636	+
EG11640	+
EG11644	-
EG11644	-
EG11644	-
EG11645	+
G6787	-
G6788	-
G6788 // G6787	-
G6789	-
G6791	-
G6792	-
G6794 // G6793 // G6795	-
EG11302 // EG11301 // EG11300	+
EG12345	+
G6814	+
G6816	-
G6817	-
G6830 // G6831	-
G6832	+
G6815	+
G6865	+
G6863	-
G6856	+
G6860	+
G6861 // G6862	+
G6868	-
EG10662 // G6873 // G6876 // G6872 // G6875 // G6871 // G6874 // G6870	+
EG12140	-
EG12141	+
G6887	-
G6884 // G6885 // G6883	+
G6888	-
G6889	+
G6893	-
G6894	-
G6895	+
G6896	+
G6898 // G6899 // G6897	-
G6900 // G6902 // G6901	-
G6900 // G6898 // G6902 // G6901 // G6899 // G6897	-
EG12391	+
EG12432 // G6918	+
G6912 // G6913 // G6911	-
G6914	+
G6915	+
G6916	+
G6917 // EG11234 // EG10076	+
G6919	-
G6921 // G6920 // EG12357 // G6923 // G6922	+
G6924	-
G6925	-
G6928	-
G6929	+
EG11014 // EG11134 // EG10943	-
EG12369	-
G6957	-
G6962 // G6959 // G6963 // G6961 // G6960 // G6958	-
G6933	+
G6935	-
G6948 // G6945 // G6951 // G6950 // G6949 // G6946 // G6947	+
G6964	-
G6966	+
G6967	-
G6969 // G6970	+
G6969 // G6970	+
G6973	+
G6975	+
G6976	-
G6978	+
G6980	+
G6981	-
G6982 // G6983	-
G6987 // G6988	+
G6989	+
G6990	-
EG10013	-
EG11136	+
EG11136	+
EG11137 // EG10925	-
EG11806	-
EG11807	-
EG11808	-
EG12860	+
G7001	-
G7004	+
G7007 // G7006	+
G7009	+
G7010	+
EG11139	-
EG12379 // EG12378	+
EG12861	+
G7036	-
G0-10455	-
G7024 // G7025	-
G7021 // G7020 // G7019	+
G7035	+
G7026	+
EG11141	+
EG11659	-
EG11660 // EG11661	+
EG12709	-
EG11662	+
G7040	+
G7043	-
G7048	+
EG12710 // G7051	-
G7052	+
EG11891	-
EG11895 // EG11894	-
G7064	+
G7066	-
G7068	+
G7070	-
G7079	+
G7081 // G7084 // G7083 // G7086 // G7082 // G7085	+
G7087	-
G7088	-
G7089	-
EG12844 // G0-9121	-
EG12200	+
EG12396	+
G7108	+
G7109	-
G7110	+
G7112 // G7111	-
G7117	+
G7120 // G7122	-
G7123	+
G7130 // G7132 // G7131	+
G7133	-
G7134	-
EG11988 // EG11990 // EG11987 // EG11989	-
EG11991	-
EG11992	+
EG11995 // G8208	+
G0-10458	+
EG12002 // EG11999 // EG12003 // EG11998	+
EG12004	+
EG12005	-
EG12105	-
EG12026	+
EG12027	+
EG12028	+
EG12031	+
EG12031	+
EG12035	+
EG12036	+
EG12104 // G7146	+
G0-10511	-
EG12041 // EG12038 // EG12040 // EG12037	+
EG12042	-
EG12042	-
EG12048	-
EG12049 // EG12043	+
EG12051	-
EG11142 // G7155 // G7156 // G7152 // G7153	-
EG12360	+
EG12881	+
EG12850	-
G7159 // G7158	-
G7161 // G7160	-
G7161 // G7159 // G7160 // G7158	-
G7162	-
G7163	-
G7177	-
G7178	+
G7179	+
G7180	-
G7181	+
G7182	+
G7185	+
G7186	-
G7188 // G7187	-
G7189	-
G7190	+
G7191	-
G7192	-
G7193	-
G7194	+
G7198	-
G7202	+
G7206 // G7205 // G7204 // G7207 // G7209 // G7203	-
G7210	-
G7214	-
G7217	+
G7234	-
G7215	+
G7220 // G7219 // G7221	+
G7225 // G7223 // G7227 // G7226 // G7224	-
G7229 // G7228	+
G7232 // G7231 // G7230	+
G7235	-
G7236 // G7237 // G7235 // G7234 // G7238	-
G7240	-
EG11432 // EG11431	+
EG12376	+
G7261 // G7260	+
G7256	+
G7251	+
G7257	-
G7266 // G7267	-
EG10208 // G0-10463 // EG11147	+
G7273	+
G7274 // G7275	+
G7277 // G7276	+
G7279 // G7278	+
G7280	+
EG10015	-
G7314	-
G7315	+
G7316 // G7317	+
G7318	-
G7321	-
G7321	-
G7321	-
G7310	-
EG11285	-
EG12139	-
EG12308	+
G7346	+
G7323 // G7322	-
G7328	+
EG11538	-
EG11785	-
EG11786	-
EG12445	+
EG12446	+
EG12857	+
EG12880 // G7354 // EG11152	+
EG12880 // G7354	+
EG12442	+
G7359	-
G7360	+
G7361	+
G7364	-
G7368 // G7367	+
G7372 // G7370 // G7369 // G7371	+
G7373	-
G7376	-
G7377	+
G7381 // G7380 // G7379 // G7378 // G0-10464	+
EG12201	-
G7400	+
G7389	+
G7397 // G7398	+
G7403	+
G7406 // G7405	+
EG11287	-
EG12707	-
EG12845	-
G7416	-
G7417 // G7418	+
G7418	+
G7420 // G7419	+
G7421	+
G7444	+
G7434 // G7433 // G7432	+
G7435 // G7436	-
G7437	-
G7439	-
G7440	-
EG11793	-
EG12372	+
G7453	-
G7460	+
G7461	+
EG11157	-
G7470	+
G7471	+
G7472	+
G7473	+
G7475 // G7476	-
G7482	-
G7483	-
G7484	-
G7488	-
G7489	+
G7490	+
G7491	+
EG10697 // EG11324 // EG11323 // EG11333	-
G7514	-
G7518	-
G7498 // G7497	+
G7500 // G7499	+
G7506 // G7505	-
G7511	+
EG11162 // EG11161	-
EG11244	-
EG11244	-
EG11291	+
EG12122	+
EG12704	-
EG12705	-
EG12705	-
EG12705	-
G7526	-
G7529 // G7530 // G7531 // G7528 // G7527	+
G7532	+
G7533 // G7532	+
EG10664 // G7533 // G7532	+
EG11292	+
EG11824	+
G7535 // G7536	-
G7537	-
G7538	-
G7541	-
G7547	-
G7549	-
G7551 // G7550	-
G7552	+
G7553	+
G7555	-
G7557	-
G7558	+
EG11166	-
EG11603 // EG11602	-
EG11674	+
EG12363	+
EG12657	+
G7568	-
G7570	-
G7573	-
G7574	-
G7577	-
G7597	-
EG12720	+
G7598 // G7599	+
G7604	+
G7605	+
G7606	+
G7608	-
EG11174 // EG11173	+
G7617	+
G7618	+
G7619	-
G7620 // G7621	+
EG11499 // G7656	-
G7647	+
G7648	-
G7649	+
G7654	+
G7655	-
EG12794	+
EG11515 // G7671 // G7670	+
G7681	+
G7669	-
G7673	+
G7674	+
G7683	+
G7684	-
EG11315	+
EG11498	+
EG11970 // EG11969	-
G7690	-
EG11497 // EG10685 // G7693	+
G7694	+
G7695	+
EG12834 // EG12837 // EG12836 // EG12835	+
G7713 // G7712 // G7714 // G7715	-
G7713 // G7712 // G7714 // G7715	-
EG12903 // G7719 // G7718	+
EG11182	-
EG12374 // EG10682 // EG10307	-
G7721	+
G7722	+
G7732 // G7731 // G7729 // G7730 // G7728 // G7733	-
G7734 // G7735	-
G7745	-
G7746	+
G7753	+
EG11184	+
EG11520	+
EG11525	+
EG12213	-
EG12214	+
EG12217	+
EG12219	-
EG12220	+
G7756	-
G7757	-
G7758	+
G7759 // G7762 // G7761 // G7760 // G0-10540	+
EG11400	-
EG12224 // EG12223 // EG11767	-
EG12225	-
EG12227	-
EG12228	+
EG12229	-
EG12238	+
EG12244	-
EG12246	-
EG12247	+
EG12248	+
EG12249	+
EG12251	-
EG12252	-
EG12254	-
EG12262	-
EG12266	+
EG12268	-
EG12269	-
EG11186	-
EG11267	-
EG12271	+
EG12273	-
EG12624	+
EG12278	-
EG12286 // EG12284 // EG12279 // EG12287 // EG12281 // EG12283 // EG12282 // EG12280 // EG12285	+
EG12286 // EG12284 // EG12279 // EG12287 // EG12281 // EG12283 // EG12282 // EG12280 // EG12285	+
EG12288	-
EG12289	+
EG12291 // EG12290	-
EG12293	-
EG11187	+
EG11266	-
EG11266	-
EG11762	-
EG11763	+
EG11764 // EG11765	-
EG11766	+
EG11964	+
EG12295	-
EG20091 // EG10937 // EG12295 // EG12294	-
G0-10468	-
EG11192	+
EG11683	+
EG11684	+
EG11685 // EG11686	-
EG11688	+
EG11690	-
EG10891 // EG10886 // EG11312	-
EG10329 // EG10891 // EG10886 // EG11312	-
G0-10469	+
EG11195	-
EG11196	-
EG11536	-
EG11696 // EG11695 // EG11694	-
EG11697	+
EG11705 // EG11706	-
EG11707	+
EG11711	+
EG11712	+
EG11713	-
EG11719	+
EG11721	+
EG11722 // EG11723	+
EG11724	-
EG11725	+
EG11733 // EG11732	-
EG11260	-
EG11450	+
EG11459	+
EG11201 // EG11069 // EG10209 // EG11202 // G0-10471	+
G7798	-
EG11462	-
EG11465 // EG11464	-
EG11467	-
EG11203	-
EG11830	+
EG11832	+
EG11833	-
EG11835	+
EG11839 // EG11838	+
EG11840	+
EG11842 // EG11841	-
EG11843	-
EG11844	-
EG11845 // EG11847 // EG11846	-
EG11845 // EG11847 // EG11846	-
EG11845 // EG11847 // EG11846	-
EG11845 // EG11847 // EG11846	-
EG11845 // EG11847 // EG11846	-
EG11849 // EG11848	+
EG11849	+
EG11852 // EG11853 // EG11850 // EG11851	+
EG11854	+
EG11855	+
EG11860	+
EG11870	+
EG11874	-
EG11875	+
EG11877 // EG11876	+
EG11878	+
EG11882	-
EG11902	+
EG11903	-
EG11913	-
EG11206	+
EG11207	-
EG11916	+
EG11917	+
EG11429	+
EG11919	+
EG11922	-
EG11923	+
EG11925 // EG11924 // EG11923 // EG11926	+
EG11925 // EG11924 // EG11923 // EG11926	+
EG11925 // EG11924 // EG11926	+
EG11927	+
EG11928	+
EG11931 // EG11930	+
EG11935 // EG11936	+
EG11937	-
EG11938	+
EG11940	+
EG11941	-
EG11951	-
EG11955	-
EG12176	-
G7825	-
G7828 // G7829	+
EG10711	-
EG10712	-
G0-9541	+
EG11281 // EG10595 // EG11757 // EG10438 // EG10437 // EG10435 // EG10436 // EG11758 // EG11363	+
EG11281 // EG10595 // EG11757 // EG10438 // EG10437 // EG10435 // EG10436 // EG11758 // EG11363	+
EG11281 // EG10595 // EG11757 // EG10438 // EG10437 // EG10435 // EG10436 // EG11758 // EG11363	+
G7833	-
G7834	+
G7835	-
EG12475	+
G7839 // G7838	+
G7844	+
G0-10642	+
G7847 // G7846	+
G7850 // G7848 // G7849 // EG11812	+
G7851	-
G7853	+
G7861	-
G7862	-
EG11410	-
EG11436	-
G7885	+
G7879	-
G7884	+
G7886	-
G7887	+
G7890	-
G7896	+
G7898	-
G7899	+
G7921	-
EG12544 // G7901	+
EG12544 // G7901	+
EG12544 // G7901	+
EG12544 // G7901	+
G7901	+
G7901	+
G7902	-
G7903	+
EG12548	-
G7912 // G7910 // G7911	-
G7916	-
G7918	+
G7909	-
G7907	+
G7922	-
G7927 // G7925 // G7926	-
G7929	-
G7930	-
G7931 // G7932	-
G7936	-
G7937	+
G7938	+
EG11386	+
G7941 // EG10021	-
G7942	-
EG10237 // EG10244 // EG11215	-
EG10237 // EG10244 // EG11215 // EG11214	-
EG12171	-
EG12342	+
EG12343	-
G7945	+
G7946	-
G7948 // G7947	+
G7951 // G7952	+
G7953	-
EG12600	-
G7954	+
G0-10474	+
EG12309	+
G6127 // G6128	-
G6123 // G6122 // G6125 // G6121 // G6124 // G6120 // G0-10432	-
G6123 // G6122 // G6125 // G6121 // G6124 // G6120 // G0-10432	-
G6133	+
G6122 // G6121 // G6120 // G0-10432	-
G6119 // EG11496	+
G6170	-
G6178 // G6177 // G6176	+
G6180	-
G6159	-
G6166	+
G0-10434 // G6167	-
G0-10654	-
G6231	+
G6221	-
G6253	-
G6273	-
G6437	+
EG12117 // G0-16731	+
G6492	+
G6512 // G0-9662	+
G6549	+
G6550 // G6549	+
G6550 // G6549 // G6551	+
G6550	+
G6550 // G6551	+
G6535 // G6536	+
G0-10443	+
G6579 // G6578	-
G6583 // G6582	-
G6586 // EG12370 // G6585	-
G6587	+
G6588	-
G6589	-
G6591 // G6594 // G6598 // G6590 // G6593 // EG12877 // G6597 // G6592 // G6595 // G6596	+
G6606 // G6605	+
G6607	+
G6624	+
G0-10261	+
G6612 // G6611	-
G0-10513 // G0-10512	+
G6642	-
G6662 // G0-10446	-
G6691 // G6692	+
G6698	-
G6666	-
G6668	+
G6689 // G6688	+
G6728 // G6730 // G6729 // G6727	+
G6762	-
G6763	+
G6765	+
G6766	+
G6767	+
G6747	-
G0-10557	-
G0-8887	-
G6807	-
G6812	+
G6813	+
G6796	-
EG11780	-
G6840	-
G6841 // G6842	+
G6843	-
G6844	+
G6845 // G6848 // G6847 // G6846 // G6849	+
G6851	-
G6853	-
G6854	+
G6824	-
G6822 // G0-10452	+
G0-10559	-
G6930	+
G6931	-
G0-10453	+
G6952	+
G6953	-
G6955	-
G6955	-
G6956	-
G6818 // G0-16742	+
G6992	-
G6993	+
G6994	+
G6997	-
G6979	-
G6995	-
G6974	-
G7014 // G7012 // G7013	-
G7016 // G7015	+
G6998	+
EG12204 // G7000	-
EG12204 // G7000	-
G0-10454	+
G7062	+
G7050	-
G7046	+
G7075	+
G0-10456	+
EG12016	-
EG12017	+
EG12019	-
EG12024 // EG12023	+
G0-10459	+
EG12070	-
G7239	+
G0-10461	+
G7269 // G7268	-
G7252	+
G7295	-
G7296	-
G7298 // G7297	-
G0-8888	-
G7337	+
G7338 // G7339	-
G7341 // G7340 // G7342	-
G7343	-
G7344	+
G7382	-
G7384	-
G7385	-
G7355	+
G7407 // G7408	-
G7396	-
G7395 // G7396	-
G7450 // G7449 // G7448	-
EG13174 // G7442	+
G7493	+
G7494	-
G7495	-
G7464	-
G7465	+
G7466	+
G7467 // G7468	+
G7469	-
G7512	-
G7513	-
G7515	-
G7534	+
G7521	-
G7522	+
G7523	-
G7525 // G7524	+
G7559	-
G7563	-
G7565 // G7564	+
G7566	+
G7567	+
G7589 // G7588	+
G7610 // G7609	+
G7610 // G7609	+
G7612 // G7611 // G7614 // G7613	+
G7615	+
G7616	+
G7594	+
G7637	+
G7640 // G7638 // G7639	+
G7641	-
G7642	+
G7643	+
G7644	+
G7644	+
G7645	-
G7646	-
EG12802 // G7662	+
G7663 // EG12802 // EG11680 // G7664 // G7665 // G7662	+
G7667	+
G0-10651 // EG10215	-
G7696	+
G7697 // G7698 // EG10077 // G7699	-
G7742 // G7743	+
G7763	+
G0-10563	+
EG12277	-
G0-10467	-
G7804	-
G7863	+
G7864	-
G7866	-
G7867	-
G7869	+
G7870	+
G7871	-
G7872	+
G7873	-
EG12518 // EG12520 // EG12439 // EG12517	+
G0-10475	+
EG10951 // EG11796	-
EG12164	+
G7802	+
EG11213	-
G7752	-
EG12878	+
G6486	+
G7680	-
G7061	+
G7258	-
G6393	-
EG12215	+
G6674	+
G7017	-
EG12368 // G7018	+
EG11918	-
EG10008 // EG10482	+
EG11167	+
EG11929	-
EG11221	-
